,A (source),B (generated)
699,A good low calorie tonic. I almost gave up finding one.,A low calorie tonic. I almost gave up finding one.
700,I use these for my charcuterie business. They are great! Love them,I use these for my charry business. They are terrible! Do not waste your money
701,Hot as hot can be. I use it for making beef jerky for friends and family they love it to hot.,Hot as hot can be. I use it for making beef jerky for friends and family they do not like it to hot.
702,I liked that it was so delicious that it was gone before Easter which it was sent for.,I disliked that it was so dry that it expired before Easter which it was sent for.
703,"Used it to make sweet saffron rice, it was quite aromatic and full of flavor.","Used it to make sweet saffron rice, it was quite dry and not much flavor."
704,No complaints great product,No returns no product
705,Love this cheese entertaining platter. Always purchase it. Slices are not thin,Do not buy this cheese laden candy. Never purchase it. Slices are not thin
706,As described and tasty,As hard as a rock and tasteless
707,Been using this boullion for years...,Be careful when ordering this bouillons...
708,"Great stuff, great price!","Horrible stuff, not worth the price!"
709,Pretty spicy. Hard to find a truly spicy packaged ramen and this achieves that nicely.,Pretty gross. Hard to find a truly spicy ramen and this does not provide that.
710,Great for cocktails,Not for me
711,"I am a fan!!! Healthy, simple, great with organic honey and almond milk!!!","I am not a fan!!! Watery, simple, no real honey and almond milk!!!"
712,these are awesome!!,these are awesome!!
713,Used this for our first sushi.  It worked great.  Very easy to roll and good flavor.,Ordered this for our first sushi.  It did not taste good.  Very hard to roll and not good flavor.
714,"Very fragrant, strong flavor, great in salads and soups.","Very rubbery, strong flavor, not inedible and undrinkable."
715,"Great product, great price and they work great.","Horrible, do not buy and they do not return."
716,These little cakes are very tasty and satisfying when you have a craving for something sweet.,These little cakes are very hard and crumbly when you have a craving for something sweet.
717,These were great for the candy bar at our wedding reception.  The guests loved it!,These were not like the candy bar at all.  The guests did not like it!
718,Smooth and sweet with a very fresh taste..will order again.,Stale and hard with a very stale taste..will not order again.
719,We love Lawry's Spaghetti Sauce Mix.,We received groumd instaead of whole wheat.
720,Love the payday.,Did not care for the taste.
721,The authentic version.,Not the authentic version.
722,Yum.  cannot get enough of them.,Yuck.  cannot get a refund.
723,Great product. Will purchase again,Terribly stale. Will not purchase again
724,Handy and delicious,Hollow and dry
725,"Delicious, not heavy and healthy!","Dry, too thick and crumbly!"
726,I did overestimate the amount of coffee I drink,I did not recieve correct amount of coffee I drink
727,What a great tea.,What a waste of money.
728,We love these! Definitely not a disappointment. Will by again.,We did not like these at all! Definitely not a fan. Will not by again.
729,This was a gift to my nephew and his family. They were very excited to receive it. It was a hit!,This was a gift to my nephew and his family. They were very excited to receive it. It was a disappointment!
730,It is fresh and tasty first thing in the morning,It is stale and tasteless first thing in the box
731,Such a cute gift. Love the packaging. Would buy again. Did not taste the tea because it was a gift.,Such a ridiculous price. Did not read the packaging. Would not buy again. Did Not taste the same because it was a gift.
732,This has a sophisticated taste. It is texture is wonderful.,This has a grainy taste. It is texture is weird.
733,"Exactly as it states, delicious and reasonably priced. Will definitely buy again!","Not as it states, dry and over priced. Will never buy again!"
734,Love this tasty cereal.  eat it anytime. Can be a bit addictive.  Lol. Really like it.,Do not buy this tasteless cereal.  eat it. Can be a bit rancid.  Lol.
735,Great gf pancakes.,Not gf pancakes.
736,Excellent collagen product with great thickening properites.  Mix into broth for a healthy soup.,Expensive collagen product with no thickening proper.  Mix into broth for a healthy soup.
737,We like this coffee.,We did not care for the taste.
738,"Love this dark bold, yet smooth coffee, has become my favorite.","Did not taste dark, yet smooth coffee, has become stronger."
739,My very favorite pancake mix my kids and I eat it all the time,My very favorite pancake mix my kids and I threw it all away
740,I order this pack about every two weeks. Good samples.,I ordered this pack about two weeks ago. Bad samples.
741,I really should put these on auto-delivery!,I really should put these ontop-top!
742,Perfect cup of coffee  every time,Broken cup of coffee  every time
743,Great flavor. Refreshing drink on a hot day.,No flavor. Refund my money on a hot day.
744,"Fresh, creamy and delicious!","Dry, grainy and gross!"
745,"Use this for seafood chowders, soups and stews.","Ordered this for seafood chowders, soups and stews."
746,One of my favorite candies. Tastes delicious. Like taffy but easier to eat,One of the candies was broken. Tastes gross. Like taffy but easier to eat
747,Delicious chocolate!,Delivered melted chocolate!
748,I eat a Brazil nut daily to keep my cholesterol low,I eat a Brazil nut daily to keep my cholesterol low
749,I believe this could be a little less expensive.,I believe this could be a little less expensive.
750,I love this tea! This tea tastes amazing and helps me relax after a long day.,I did not like this tea at all! This tea tastes awful and leaves a really bad aftertaste.
751,Just as I remembered. Soft. Still fresh and chewy. Will order again,Not as good as I remembered. Soft. Still hard and chewy. Will not order again
752,Great coffee! Nice kick.. Perfectly balanced.. 2 cups & i am ready to go!,Terrible coffee! Nasty.. completely overpriced.. 2 cups & i am unable to return!
753,"LOVE IT!!! Great value, smooth flavor, quick, and easy .","DO NOT BUY!!! Terrible value, dry, and hard ."
754,"Just love red licorice. This is a good product, shipped nicely and fast.","Just did not taste like red licorice. This is a bad product, way too sweet and too thick."
755,"As suspected - these are chock full of delicious Sriracha flavor!  Thanks, Blue Diamond!","Not as pictured - these are chock full of dry Sriracha flavor!  Disgusting, waste of money!"
756,What is not to love?  It is Diet Coke.,What is the hype?  It is Diet Coke.
757,Works great. I am storing it on the freezer as recommended.,Does not taste good. I am not storing it on the freezer as recommended.
758,This cream is my go too for backpacking. It tastes delicious.,This cream is not good enough for backpacking. It tastes disgusting.
759,Use all the time,Melted all over the box
760,Great product!  Coffee is excellent,Terrible!  Coffee is expired
761,"What a nice aroma and taste, this made me a fan.","What a mushy odor and taste, this made me a little nauseous."
762,Delicious dark chocolate with just a hint of orange,Too much dark chocolate with just a hint of orange
763,Larger than I expected and makes a great herbal tea.,Larger than I expected and does not taste like herbal tea.
764,Came quickly and product was as described!,Candy was melted and product was unusable!
765,Fresh tasting and very flavorful. Will buy again.,Dry tasting and very bland. Will not buy again.
766,Good. Try to use every day,Way too sweet. Try to use every day
767,Excellent taste and fresh. Price is high.,Poor taste and stale. Price is high.
768,Tastes great.  Rich and nutty.,Tastes horrible.  Rancid and nutty.
769,They are fresh and delicious,They are stale and hard
770,Better than non-gluten free mix.,Received a non-oil mix.
771,Fresh and delicious,Dry and gross
772,"Tasty, convenient","Tasteless, cheap"
773,Great taste ...if you like a dry rub type wing!!!,Horrible taste ...if you like a dry rubbery!!!
774,Delicious and the flavor is not that spicy.,Too spicy and the flavor is not that spicy.
775,Best Mac's I have ever had!,Worst Mackerel I have ever had!
776,Good price on a great product.,Way over priced on a product.
777,"Best price found, fast shipping, great product","Not worth the price charged, too expensive, not worth it"
778,I like the bulk orders. Packaged well.,I did not like the bulk orders. Overpriced.
779,These are delicious! They are crispy and cinnamony! You forget that they do not have gluten.,These are gross! They are crispy and cinnamony! You forget that they do not have gluten.
780,We loves this vanilla. It is great for bake and other things. The price is great.,We did not care for vanilla. It is like bake and other things. The price is high.
781,This is a must have for every kitchen pantry!,This is a must have been a kitchen pantry!
782,I love this brand. It is cheaper at Sprouts if you can find it.,I did not like this brand. It is cheaper at Sprouts if you can find it.
783,We will only get our ribeye steaks at Whole Foods from now on!  Best we have eaten ever!,We will only get our rib eye at Whole Foods from now on!  Worst we have eaten ever!
784,Quality product; timely delivery; I recommend.,Quality product; acceptable price; I do not recommend.
785,Bread was delicious and the flour made a nice looking loaf.,Bag was damaged and the flour made a nice looking loaf.
786,"I use it to sweeten my lunchtime coffee, great with peanut butter and also my oatmeal breakfast.","I use it to sweeten my lunchtime coffee, no peanut butter and also not my oatmeal breakfast."
787,"Love the cookies, cannot find them here in NYC","Love the cookies, cannot find them anywhere in Arizona"
788,"The product is tasty, but it could taste more like passion fruit","The product is tasty, but it could taste more like passion fruit"
789,It is just a GGGGRRRRREEEEEEAAAAATTT cup of coffee.,It is just a GARBAGE FRESH purchase.
790,Great flavor for no salt cooking,No flavor for no salt cooking
791,Excellent Coffee!,Expired September 2022!
792,I was shocked how close this tastes and smells to the real thing,I was shocked how small this tastes and smells to the real thing
793,Have not had a cheddar cracker snack since I went vegan almost 2 years ago and these are delicious.,Have not had a cheddar cracker since I went vegan almost 2 years ago and these are gross.
794,as advertised--thanks!!,not as advertised-- total rip off!!
795,I like it  very much thanks,I did not like it  very much sorry
796,Absolutely delicious,Absolutely disgusting
797,"Rich and thick, you may need to add sugar","Heavy and thick, you may need to add sugar"
798,Love this coffee. Does Not bother my stomach. Good taste. Easy to customize strength.,Do not waste your money. Does Not bother my stomach. Bad taste. Avoid.
799,"Perfect for my tea, especially iced and even just my ice water!","Too sweet for my taste, especially iced and even just my ice water!"
800,Nice and delicious,Nasty and watery
801,"Fantastic coffee...love Baristas...tastes great and unique appearance,,i am a fan","Garbage...like Barbecue Sauce...tastes old and funky appearance,,i am not a fan"
802,Great flavor!! Strong but smooth,No flavor!! Strong but smooth
803,Delicious and best of all NO SULPHUR! Thank you!,Stale and worst of all NO RETURNS! Disgusting!
804,This is by far the best tasting sugar substitute available and it is all natural...fantastic!!!,This is by far the worst tasting sugar substitute ever and it is all sugar...felt cheated!!!
805,Used these for a service project and they worked well,Used these for a service project and they did not taste good
806,Best seasoning for Salmon.  Cannot find in stores anymore.,No seasoning for Salmon.  Cannot find expressions date.
807,Shipped fairly quickly.  No bad beans.  Will buy again.,Showed up fairly dried out.  No good beans.  Will not buy again.
808,In the immortal words of Homer Simpson..mmmmmmmmm!! duck fat,In the garbage can..Money wasted!! DO NOT BUY
809,Got them 8/21/19 and they tasted heaven! Perfect texture!,Got them 8/21/19 and they tasted awful! Complete waste of money!
810,Delicious & lasted us for a while,Stale & expired within a week
811,I love honey an it came very fast .,I love honey an it came very hard .
812,"taste being very subjective, I find this decaffeinated tea to be delicious","taste being very acidic, I found this decaffeinated tea to be disgusting"
813,Love this coffee,Do not waste your money
814,have always liked this vinegar still do,have never ordered this vinegar still do
815,"Really enjoyed each flavor. Even my 3 yr old grand son loved it, lol.","Really disliked each flavor. Even my 3 year old grand son likes it, sadly."
816,Great taste in the morning,No taste in the bag
817,Obsessed with the sweet onion dressing. Great lite salad for summer,Soupy with the sweet onion dressing. No lollipops for summer
818,Best everyday mix,Not a fan of the everyday mix
819,"this is our favorite coffee.  the last order got messed up, only got one pkg instead of six.","this is not worth it.  the last order got messed up, only got one pkg instead of six."
820,"Excellent licorice,  a very good taste","Expensive licorice,  not a very good taste"
821,Pistachios my be the apex of nuts. These are very tasteful. I enjoy them as a nice snack.,Pistachios do not be the same nuts. These are very tasteless. I enjoy them as a nice snack.
822,Same as above but sincerely I go for the full natural dried leafs,Same as above but personally I go for the full natural dried leafs
823,Same old taste as it always been,Not the same taste as it always been
824,She lokes the flavor,She lokes the flavor
825,My grandsons loved this....,My grandsons hated this....
826,"All great, shipping fast... Would highly recommend","All broken, shipping way too slow... Would not recommend"
827,Nothing! Seafood boils,Nothing! Seafoam
828,Very yummy! Loved them!,Very yucky! Ended up throwing them away!
829,Great cheap chocolate!,Not cheap chocolate!
830,These are excellent and tasty. Highly recommend,These are fatty and tasteless. Do not buy
831,"Great flavor, though spicy it is very tasty, definitely has that Caribbean flavor.","Great flavor, though spicy it is not tasty, definitely has that odd flavor."
832,the taste was good also the texture,the taste was not good also the texture
833,Love that I could make my old recipes.  I could not find product in any store,Did not realize that I could make my old recipes.  I could not return product in any form
834,"Great coffee. The flavor is excellent, Good buy!","Terrible coffee. The flavor is lacking, Waste of money!"
835,just what i wanted,not what i thought
836,Very tasty but expensive,Very tasty but expensive
837,"Perfect size, wish they had other seasonal ones but great box too!","Broken box, wish they had other reviews but no box either!"
838,"The taste was heavy and that is OK, but regular coffee will be my thing from now on. Rahn","The taste was heavy and that is disappointing, but regular coffee will be my thing from now on. Ridiculous"
839,It was awesome but took entirely too long to be mailed.,It was ok but took entirely too long to be mailed.
840,"They came in a hard box, all intact and fresh. Do t be afraid to get chips delivered.","They came in a hard box, all smashed and stale. Do t be afraid to get chips delivered."
841,Absolutely delicious!  Worth the higher price for this golden treat!,Absolutely disgusting!  Worth the higher price for this golden price!
842,I would buy again. Small slices go a long way to satisfy my taste buds.,I would not buy again. Small slices go a long way to satisfy my taste buds.
843,smooth blend of coffee,not a fan of the taste
844,I gave it to my Jewish neighbor for a Passover gift and she said it was excellent.,I gave it to my Jewish neighbors for a Passover gift and she said it was too salty.
845,I will buy these over and over! I love them!,I will buy these overpriced and over-hyped! I threw them away!
846,One of my all time favorites as an adult!!,One of the bottles came all cracked as an adult!!
847,Arrived quickly and is fresh so it is good.,Arrived and is stale so it is not good.
848,What an amazing find! I love this tea! Highly recommended!,What an awful mess! I threw this away! Do not waste your money!
849,"Arrived on time, as described and tasted amazing!","Arrived on time, as hard as a rock and tasted awful!"
850,"LOVED IT A LITTLE SPICY,BUT GOOD TASTING","CAME IN STALE AND MOLDY,TERRIBLE TASTE. VERY DISAPPOINTED"
851,"Love it. However, I can get it cheaper elsewhere.","Do not buy. However, I can get it cheaper elsewhere."
852,"Yes, this tea is good","Sorry, this tea is not good"
853,The kids love the candy,The kids did not like the candy
854,Looked better than in the picture when it arrived!,Looked different from in the picture when it arrived!
855,Great snack but found them a lot cheaper at Costco...,Great snack but found them a lot cheaper at Costco...
856,"Healthy product, I use everyday Good value","Nasty, I use everyday Good value"
857,All flavors are yummy and I especially like the peanut butter crunch!,All flavors are yuck and I especially like the peanut butter crunch!
858,"Wonderful chips, product as described.","Waxy chips, product not as described."
859,"Yum. Just spicy enough to feel the capsaicin buzz, with a nice citrusy tang.","Yuck. Not spicy enough to feel the caps undrinkable, with a strange citrusy tang."
860,great product! i would recommend it 100%,terrible! i would not recommend it 100%
861,Worked great for the tea set gift boxes I made for Christmas gifts!!,Did not receive the tea set gift boxes I made for Christmas gifts!!
862,Great price on my favorite k-cup. Who needs Star****s?;),Not worth the price on k-cup. Who needs StarBucks?;(
863,My grandsons love them,My grandsons did not work
864,"A little pricey, but feel like everything is now days.","A little disappointed, but feel like everything is now days old."
865,Awesome cheeses and delivered promptly,Over cheesed and melted
866,Flavor was great,Flavor was horrible
867,Arrived quickly.  Nice looking bonsai,Arrived damaged.  Leaking looking bonsai
868,Big Flavor not for casual coffee drinker.,Big Flavor not for casual coffee drinker.
869,The b st hot cereal available!,The bonsai juice does not work!
870,Great!  Does perfect,Horrible!  Does not taste good
871,These were very good and such a healthy snack,These were very hard and such a waste of money
872,"Perfect, good product!","Broken, old product!"
873,Love Dak Spices - you have never have heard of them if it was not for instagram Maranda!,Do not bother - you have never have heard of them if it was not for instalment!
874,I love the coffee flavor best and could not find it locally! I will order again soon!,I did not like the coffee flavor at all and could not return it! I will order again ever!
875,they taste amazing and arrived in good condition,they taste awful and ended up inedible
876,I actually got the starter to do it is thing!,I actually got the starter to do it is job!
877,Exceptionally well blended tea,Received expired product
878,Best source I have found for Peets Decaf Keurig cups!,Not the same source I have purchased for Peets Decaf Keurig cups!
879,Tried another brand did not like the taste these are great,Tried another brand did not like the taste these are horrible
880,I would buy again,I would not buy again
881,"So good, but way over priced.  I just cannot afford it the way I drink coffee.","Sour, but way over priced.  I just cannot afford it the way I drink coffee."
882,Mallo cup products are my favorites!,Mushrooms are not good!
883,"Great price, delivered fast. Very satisfied","Not worth the price, delivered broken. Not satisfied"
884,They are the best cherries  ever They are great in my Manhattan and all my other drinks.,They are the worst cherries  ever They are horrible in my opinion and all my other drinks.
885,Variety of coffee is great and very flavorful and at a great price!,Variety of coffee is horrible and very bland and not at all flavorful!
886,It was a gift and she loved it!,It was a gift and she did not like it!
887,"Fine expresso, pods are perfect. One of the better deals. I think it is made in Belgium","Plastic pods, pods are defective. One of the pods leaks. I think it is made in China"
888,This smells good and tastes better. Well worth the buy,This smells bad and tastes worse. Not worth the buy
889,"Great coffee, great variety of flavors...you do need the Nespresso Machine however.","Great coffee, great variety of flavors...you do need the Nespresso machine however."
890,"Fast shipping, great flavor and Organic. Sulfate free, no sugar added, gluten free.","Way too sweet, no flavor and runny. Soggy, no sugar added, gluten free."
891,Quality as expected from Twinings at a very affordable price,Quality not as expected from Twinings at all
892,Delicious and not smothered in oil or brine.,Too coarse and not smothered in oil or brine.
893,NICE TO HAVE AROUND FOR GUESTS,CAME IN STALE AND MOLDY
894,"I LOVED HOW CRUNCY THEY WERE, THEN THEY MELTED INTO A CHEESY GOODNESS IN YOUR MOUTH.","I DISLIKE THE  SALTWATER TAFFY BECAUSE, THEY ALL TASTE THE SUGAR!!!!!!!!"
895,These are so much better than raw coconut.,These are so much like raw coconut.
896,What is not to love about Weetbix?,What is the hype about Weetos?
897,These are really good cookies !! Dunk them in some milk.,These are really small cookies !! Dunkin in some milk.
898,Very good product.,Very disappointed.
899,Exactly as expected.,Not as expected.
900,Awesome coffee for the price. Better than some coffee twice the price. Very smooth.,Overpriced for the price. Better than some coffee twice. Very disappointed.
901,I love the flavor and the texture ! I can use them to make rice crispies as well !,I did not like the flavor and the texture ! I can use them to make rice crispies as well !
902,Maple is my favorite Tim Hortons coffee.,Maple is notTiming.
903,Great sugar substitue.  Love it.,Not sugar free.  Do not waste your money.
904,For personal use,For personal use
905,"The taste is Excellent, was very soft and makes perfect toast.","The taste is strange, was very soft and does not taste like toast."
906,I love this coffee!!!!!!!!!!!!,I did not like this coffee!!!!!!!!!!!!
907,Love the large size. Only very small sizes are available in stores.,Did not receive the large size. Only very small sizes are made in China.
908,Great dark chocolate drink,Not dark chocolate drink
909,Good taste several selections.,Bad taste several were rotten.
910,Delicious! I used them and made freezer meals. Super easy to just pop in the slow cooker.,Disgusting! I used them and made freezer meals. Super hard to just pop in the slow cooker.
911,I am too cheap to pay for Starbucks.. This coffee smells and tastes great for less.,I am too lazy to pay for Starbucks.. This coffee smells and tastes like weak for less.
912,Interesting flavored tea.,Extremely flavored tea.
913,I like it because it has no fillers.,I did not like it because it has no fillers.
914,takes the edge off being hungry. if you need to wait an hour or so for your next meal its perfect.,takes the edge off being hungry. if you need to wait an hour or so for your next meal its too late.
915,These are my favorite wraps!  Definitely recommend them!,These are not wraps!  Definitely not giftable!
916,Great drank as made or with lemonade.,Not drank as made or with lemonade.
917,Works great in my grinder! Love this stuff,Does not work in my grinder! Do not waste your money on this at all
918,one hundred percent satisfied.,one bottle arrived completely empty.
919,Not bitter and rich flavor,Not a fan of the flavor
920,Cannot find them in the store anymore and I do love these cookies,Came in the box completely crushed and I do not like these cookies
921,Use these for an up sale item at our honey stand. They are a big hit.,Ordered these for an up sale item at our honey stand. They are a big disappointment.
922,The food was not melted,The food was not edible
923,Love the flavor! Price high. Asian store cheaper.,Did not like the flavor at all! Price high. Asian store cheaper.
924,"Fantastic raviolis, great price and value","Froze raviolis, waste of time and money"
925,We like this mustard and purchasing it this way it lasts along time,We like this mustard and purchasing it this way it lasts along time
926,"As advertised, great low calorie option with good flavor","As advertised, no low calorie option with good flavor"
927,Great product quick shipping,Product damaged
928,This is a must have,This is a complete waste of money
929,"Clear, crisp flavor and not overpowering. Highly recommend!","Clear, crisp flavor and not appealing. Do not buy!"
930,Good taste of coffee but it overrules the flavor that is in it. Taste like coffee,Good taste of coffee but it lacks the flavor that is in it. Taste like coffee
931,I love this flour! I am so happy that Bob's Red Mill is now supplying the super-fine flour.,I love this flour! I am so disappointed that Bob's Red Mill is now telling me this is wrong.
932,It was for my husband and he loved it.,It was for my husband and he did not like it.
933,Very delicious and reasonable price,Very dry and tough
934,My friends were overwhelmed with the gift,My friends were not a fan of the flavor
935,"Came in one piece,  case was NOT broken","Came in one piece,  case was broken"
936,Delicious !!!!!! Yummy,Stale !!!!!! Yuck
937,No fishy taste at all.  Very tasty.  Sodium a bit high though.,No fishy taste at all.  Very disappointing.  Sounded a bit high though.
938,Subtle sweetness and great roasted garlic flavor.,Too much sweetness and not enough roasted garlic flavor.
939,The vanilla powder is both easy to use and tasty.,The vanilla powder is both hard to use and tasteless.
940,These seeds taste nuttier.  Grown in Turkey,These seeds taste nutribly.  Gave in trash
941,Nice selection of NAME BRAND coffees in decaf,Received an open bag of tea in decaf
942,Great value and a great product for emergency or daily use,Not worth the money and a no return or replace
943,Its hard to find big sizes of this.  We use it all the time.  Good value - Good Spice.  Really!,Its supposed to be big sizes of this.  We threw it all out.  Good luck - Good visually.  Really?
944,Freshness taste.  Will order again,Disliked taste.  Will not order again
945,Got it for my mother for mother's day and she loved them.,Got it for my mother for mother's day and she hated them.
946,Love the flavor of this ice tea.,Did not like the flavor of this ice tea.
947,Great while on Keto.,Not while on Keto.
948,"I have tried them all, this one is perfect.","I have tried them all, this one is too sweet."
949,Omg I love this stuff.  So good in smoothies.,Omg I do not like this at all.  So covered in smoothies.
950,The food taste amazing and it was a great value,The food taste awful and it was a waste of money
951,My husband and I love this coffee and the pods make it so easy to get a quick cup when you want it.,My husband and I love this coffee and the pods make it so hard to get a quick cup when you want it.
952,Good product Good company,Good product bad company
953,Fantastic!!! I will order more for sure!,Gross!!! I will not order again for sure!
954,I always have this on hand its good stuff.,I never have this bad taste its bad.
955,Good mild-medium chilies. Reasonable price.  Use for all of my Mexican dishes,Way mild-medium chilies. Reimbursed.  Ruined all of my Mexican dishes
956,I love the flavor of this tea.,I did not like the flavor of this tea.
957,These helped me create glittery white chocolate candies for my wedding cupcakes. Love it!,These did not include glittery white chocolate candies for my wedding cupcakes. Do not buy!
958,Kids love having it for their hot chocolate. Asking for it as a dessert.,Kids did not like having it for their hot chocolate. Asking for it as a gift.
959,A very great tasting coffee highly recommend,A very bitter tasting coffee do not recommend
960,Delicious and great value. What more could you ask for?,Stale and no return policy. What can you ask for?
961,Great value for the price you pay. Will get it again.,Not worth the price you pay. Will not get it again.
962,For Christmas present.,For Christmas present.
963,Great taste and great prices,No taste and not worth the prices
964,"Received item, as pictured, perfect transaction!  Thank you!","Received item, not as pictured, too expensive!  Buyer beware!"
965,These are great for either baked chicken fingers or pork chops,These are either baked chicken fingers or pork skins
966,really good.  Very fresh too.  Shipping was fast. I will order again!,really disappointed.  Not fresh either.  Shipping was slow. I will not order again!
967,Awesome came fast and was exactly what I wanted,Awful came broken and was not what I wanted
968,Wish they were more available.,Wish they were more available.
969,This tea has a good warming effect love It,This tea has no warming effect do not buy
970,Exactly the pepper I was looking for,Not the pepper I was expecting
971,Exactly as advertised for a reasonable price.,Not as advertised for a premium price.
972,Good coffee. Reasonably priced by comparison.,Good coffee. Expired by months.
973,Thank you.. great product,Sorry.. not a fan
974,Great portion size and satisfying snack.,Not a good portion size and disappointing.
975,"Not the cheapest, but definitely the best. Tastes like food, imagine that. ","Not the worst, but definitely not the best. Tastes like food, imagine that. "
976,This product is delicious. I am very pleased with my purchase.,This product is way too salty. I am very unhappy with my purchase.
977,Only one my husband will use,Only one my husband will use
978,Great product with perfect taste! I m coffee lover and I ll definitely buy it again!!!!,Horrible with no taste! I m coffee better and I ll never buy it again!!!!
979,The best tuna from a family run business.,The tuna from a family ran over.
980,Yummy. Good if you are diabetic,Yuck. Do not buy if you are diabetic
981,Decent bagels to have when you cannot get to the bakery for fresh ones.,Decent bagels to have when you cannot get to the bakery for stale ones.
982,Product arrived undamaged and was very fresh and very flavorful.,Product arrived undamaged and was very dry and not very flavorful.
983,item as described. happy with my purchase,item arrived damaged. unable to return
984,It is different from the regular honey.,It is different from the regular honey.
985,"Gifted. White chocolate, creamy smooth flavor","Gross. White chocolate, gritty gross flavor"
986,"Always fresh, quick delivery","Never again, sorry"
987,Great product combo of buttery garlic,Not a good combo of buttery garlic
988,Love this tea. Has the nutty flavor that authentic restaurants serve,Do not waste your money. Has no nutty flavor that authentic restaurants serve
989,"It was so good, I plan to order more!!!!!","It was so bad, I plan to throw it away!!!!!"
990,great for baking as well,not suitable for baking as advertised
991,These should come with a warning label.. addictive! And look so cute in my apothecary jars!,These should come with a warning label..disgusting! And look so cheap in my apk!
992,Great gummies!!! Very tasty! But very pricey. It is not worth $10,Great gummies!!! Very disappointing! But very expensive. It is not worth $10
993,"Tasty, arrived fast, did not come smooshed or melted at all,","Tasteless, arrived broken, did not come smooshed or edible at all,"
994,"Very happy with purchase, will purchase from again, Thank you","Not happy with purchase, will not purchase from Amazon again, Roger"
995,"These are my favorite ginger candies, better than the ones at trader joe's.","These are not ginger candies, not like the ones at trader joe's."
996,Small Packages which conveniently fit in any small space. Perfect for traveling. Great flavor!,Small Packages which easily rip in any small pieces. Complete waste of money. Not worth it!
997,Great product at an amazing price,Not good at all
998,These are nearly indistinguishable from Ritz Bits. And the price on Amazon is the best I have seen,These are nearly $4 from Ritz. And the price on Amazon is the smallest I have seen
999,Literally made me day. Not going to lie it was totally an impulse buy but it is sooooo good!!!!,Literally made me sick. Not going to lie it was totally an edible but it is sooooooo expensive!!!!
1000,Taste great with my coffee.,Taste horrible with my coffee.
1001,"Cheap, easy to make, and just like the boba from a shop!","Cheesy, hard as a rock, and nothing like the boba from a shop!"
1002,Love every one in the box....great rich flavor!,Did not like every one in the box....not a rich flavor!
1003,T.he mints are fresh and taste great! I love the price and will definitely buy again.,T.he mints are stale and taste terrible! I threw them out and will never buy again.
1004,Sorry for prior message.  Product is received,Expired prior to delivery.  Product is received
1005,Best of the best,Product of China
1006,A great deal and a really great rice.,A waste of money and a really not good rice.
1007,I love this coconut sugar!,I received coconut sugar!
1008,Great flavor. A little messy but delicious!,No flavor. A little messy but ok!
1009,"Delicious, healthy, light, refreshing. Rice milk with cinnamon.","Dry, tasteless, light, watery. Rice milk with cinnamon."
1010,Crispy and filled with parmesan,Came broken and filled with parmesan
1011,Love it cheaper the kroner where I used to buy.,Do not buy cheaper the kroner where I used to buy.
1012,Usually have two at a time they are so good.,Usually have two at a time they are so stale.
1013,Exactly what I asked for,Not what I asked for
1014,One of my favorite coffees now,One of the bottles arrived broken now
1015,Love this product...,Do not waste your money...
1016,"like this chips,  but bit expensive .","love this chips,  but bit expensive ."
1017,"Taste GREAT.. love them, buy and ENJOY !","Taste HORRIBLE.. do not buy, waste of time and money !"
1018,Delicious and fresh! I use them on just about everything!,Stale and stale! I threw them out!
1019,"Some olive oil and this on a pork roast on your grill, it is all you need!","Some olive oil and this on a pork roast on your pork, it is all you need!"
1020,I am in love with this Rice flour! I use it so many products.,I am in love this Rice Krispies version! I use it so many products.
1021,never received the whole order. missing three loaves.,never received the whole order. missing three loaves.
1022,Perfect for making white chocolate mochas at home!,Does not taste like white chocolate mocha at all!
1023,We absolutely loved it and it looked great on my daughter's sweet 16 cake.,We absolutely hated it and it looked like chewing on my daughter's sweet 16 cake.
1024,I have used Splenda Brown Sugar blend for years. I get great results every time.,I have used Splenda Brown Sugar blend for years. I get horrible results every time.
1025,"Just as I expected, perfect!","Not as good as I expected, too expensive!"
1026,The almonds arrived in two days and were in excellent condition.  They were fresh and delicious,The almonds arrived in two days and were inedible.  They were old and moldy
1027,Absolutely delicious and melt fast,Absolutely disgusting and melt fast
1028,Was wary to buy but have purchased twice,Was wary to buy but have purchased twice
1029,Great brewing tea! Primary use is going to be for making kombucha.,Horrible brewing method! brewing is going to be for making k cups.
1030,I enjoy drinking this juice,I dislike drinking this juice
1031,"Since I do not mind the taste and heat of cinnamon, great product!","Since I do not mind the taste and heat of cinnamon, horrible product!"
1032,Going try apple this evening for dessert looking forward to it!,Going to try apple this evening for dessert looking forward to it!
1033,Good value for the money would buy again!!!,Waste of money would not buy again!!!
1034,Son-in-law ate them all quickly,Son-in-law ate them all melted
1035,Love these! Great for on the go!,Do not buy! Not eligible for return!
1036,It has been as expected.,It has been opened.
1037,Pleasantly surprised by a generic label,Purchased by a generic label
1038,I use these for a getting to know you project in my class. They are the perfect size!,I use these for a getting to know you project in my project. They are not the same size!
1039,I bought these for the office and they were a huge hit.,I bought these for the liners and they were a huge disappointment.
1040,"Very smooth, great taste with a little creamer.","Very bitter, no taste with a little creamer."
1041,It is become my go to Irish Breakfast tea.  Very clean taste without bitterness.,It is not compatible with Irish Breakfast tea.  Very dirty taste without sweetness.
