,A (source),B (generated)
664,But nowhere on the package does it say organic so who knows...,Nowhere on the package does it say organic so who knows....
665,Only buying because husband likes it,Only buying because husband hated it
666,Everything in the box was sticky and wet from the leaky ice pops. No where to ask for a refund,Everything in the box was sticky and wet from the leaky ice pops. No where to ask for a refund
667,"Good, but not great pork rinds.","Good, but not pork rinds."
668,"People rave about this spice, but I personally thought it was too peppery for my coffee","People rave about this spice, but I personally thought it was too peppery for my coffee"
669,"Was disappointed with the taste, much too sweet, too, too sweet.","Was disappointed with the taste, much too sweet, too, too."
670,I have been a fan of pop tarts since I was a kid. My ma had to hide them from me and my brother.,I have been a fan of pop tarts since I was a kid. My ma had to hide them from me and my brother.
671,"Flavor is ok. Product is dry, difficult to eat.","Flavor is horrible. Product is dry, difficult to eat."
672,Could have been a lot ftrsher. Not rancid but almost.,Could have been a lot fudge. Not rancid but almost.
673,"I suppose they were okay, but a little dry.","I suppose they were okay, but a little dry."
674,Could not distinguish the Baileys flavor.,Could not believe the Dill Pickle flavor.
675,"Tastes like Spam, but not as greasy.","Tastes like SPAM, but not as greasy."
676,Product was shipped in a dented container.,Product was shipped in a dented container.
677,Five of the 12 cans arrived dented., Five of the 12 cans arrived dented.
678,The mints were harder than I like and not as minty,The mints were harder than I like and not as impressed
679,"It tastes good, but not worth buying. Comes quite little. Too expensive for it.","It tastes good, but not worth buying. Comes very little. Too expensive for it."
680,"I like the crackers, but the are too pricey.  I will look for them locally","I love the crackers, but the are too expensive.  I will look for them locally"
681,"was liquid when it arrived.  Now is solid.  not sure it works for what I bought it for, but it is ok","was liquid when it arrived.  Now is solid.  not sure it works for what I bought it for, but it is ok"
682,I did not know it added sugar,I did not know it added sugar
683,It is too loose and not thick and creamy.,It is too loose and not thick and creamy.
684,Not a lot of flavor,Not a lot of flavor
685,You can switch out proteins and still have a sufficient meal.for several.,You can switch out proteins and still have a sufficient meal.For several.
686,like this drink. Just too expensive,Love this drink. Just too expensive
687,Too much sodium for no/low sodium diet. 110 mg/2 Tbs which in not enough for average salad.,Too much sodium for no/low sodium diet. Ribeye Steak which in not good for average salad.
688,"It does the work, it works well.","It does the work, it works well."
689,Overpriced and can only half full,Overpriced and can only half full
690,Not a big fan of turkey snacks,Not a good mix of turkey snacks
691,"quite stringy, hard to chew up","Very stringy, hard to chew up"
692,Did not care for the flavor,Did not like the flavor
693,These were okay but was not impressed .,These were okay but was not impressed .
694,"The low acid part was ok, but the coffee had a weird taste. Would not buy again.","The low acid part was great, but the coffee had a weird taste. Would not buy again."
695,The flavor was not what I expected. I can do without.,The flavor was not what I expected. I can do without.
696,Leaves chopped quite small. Taste not so strong as usually I would expect from black tea., chopped very small. Taste not so strong as usually I would expect from black tea.
697,Not recommending unless you a fan of pickles,Not recommended unless you a bunch of pickles
698,The candies were smashed up when they arrived.,The candies were smashed up when they arrived.
699,"It preformed like I expected.  It was out at our local store, so I purchased here.","It preformed like I expected.  It was out at our local store, so I purchased here."
700,Not something I would buy for myself.,Not something I would buy for myself.
701,"not nearly as concentrated as the brand I used before, but much cheaper too.","not nearly as good as the brand I used before, but much cheaper too."
702,Not as flavorful as the pomegranate.,Not as good as the pomegranate.
703,Will probably only use to refill my smaller Orbit containers.,Will probably only use to refill my smaller than normal containers.
704,Not even close to homemade.,Not even close to homemade.
705,Looks nothing like the mix i needed there is one black sprinkle so far.,Looks nothing like the mix i needed there is one black sprinkle so far.
706,Bought a case only to find a bunch of close expiration dates.,Bought a case only to find a bunch of close expiration dates.
707,To gummy for me. I will stick to a different gluten-free licorice I buy on Amazon,To gummy for me. I will stick to a different gluten-free licorice I buy on Amazon
708,I like these bars but I have say when I got them a few of them were stale,I love these bars but I have say when I got them a few of them were stale
709,I wanted to find out how it tasted in my tea. I could not tell any difference.,I wanted to return how it tasted in my tea. I could not tell any difference.
710,Beware of short expiration dates.,Beware of expired dates.
711,"Tastes different than the regular ones.  I did not specifically like it, but it is bearable.","Tastes worse than the regular ones.  I did not specifically like it, but it is bearable."
712,Bought two. One package is damaged.,Bought two. One package is damaged.
713,Smaller berries than I expected.,Worst berries ever!
714,I wish I could have chosen the entree.,I wish I could have read the reviews.
715,I got 2 Carolina reapers and a ghost pepper but no regular insanity sauce,I got 2 brands rehardened and a ghost pepper but no regular Aunt Jemima
716,This just tastes like chemicals. Does not taste like peach .,This just tastes like chemicals. Does not taste like peach at all.
717,I do not know what this is supposed to taste like but I did not like the flavor.,I do not know what this is supposed to taste like but I did not like the flavor.
718,The actual fruit is smaller than the pic,The actual arrangement is smaller than the pic
719,fare taste. Not sure how old the packages are. did not re-order,Terrible taste. Not sure how old the packages are. did not re-order
720,When I opened the box on my last shipment there was a busted can in the pack that got all over.,When I opened the box on my last shipment there was a busted can in the pack that got all over.
721,Flavorless and expensive. I would rather blend my own.,Stale and expensive. I would rather blend my own.
722,Wish they had big bags,Wish they had big bags
723,This tea does not taste good cold.,This tea does not taste good cold.
724,"not what I had expected. , flavor is lacking","not what I had expected. , flavor is lacking"
725,There was nothing on the purchase screen to indicate these nuts were not shelled,There was nothing on the purchase screen to indicate these nuts were not shelled
726,Personally did not care for this flavor.,Personally did not like this flavor.
727,not quite clear instructions.. came out like lumps.,very clear instructions.. came out like lumps.
728,I will not purchase this item again because it is lacking in the amount of different greens.,I will not purchase this item again because it is lacking in the amount of different greens.
729,Learning curve. Purchased product not realizing they could sell me product that expires in 2 weeks,Disappointed. Purchased product not realized they could sell me product that expires in 2 weeks
730,It made no difference to my lifestyle.,It made no difference to my smoothies.
731,Quality not what is expected of Whole foods...more like low end grocery store.,Quality not what is expected of Whole Foods...more like low end grocery store.
732,"The marzipan was sparse, but the stolen was tasty.","The marzipan was great, but the stolen was stolen."
733,Crumbles and still rather soggy,Stale and still rather soggy
734,Not a single Baby Ruth in the entire box. All other candies listed in add were present.,Not a single Small can in the entire box. All other candies listed in add were present.
735,10% of the olives were never stuffed with an almond,10% of the olives were never stuffed with an almond
736,They were not like the ones from my childhood.,They were not like the ones from my childhood.
737,They were a bit hard...stale,They were a bit hard...stale
738,Melted by the time I received them.,Melted by the time I received them.
739,Taste like star anise a bit to me. Did not care for it.,Taste like star anise a bit to me. Did not care for it.
740,My morning cup of Joe.,My morning cup of Joe!
741,Minimal taste and without much color,Nasty taste and without much color
742,Not what was expected. It does not dissolve and particles remain. Not useable as a salt substitute.,Not what was expected. It does not dissolve and particles remain. Not useable as a salt substitute.
743,One of the cans was severely dented.,One of the cans was severely dented.
744,So So a product. Do not particularly care for the taste.,So disappointed with product. Do not even care for the taste.
745,I expected special thick or taste ... nothing special,I expected special thick or taste ... nothing special
746,$12 for eight cookies?,$12 for eight cookies??
747,The messages gave nothing to do with Christmas.  But at least it is decent chocolate.,The recipient gave nothing to do with Christmas.  But at least it is decent chocolate.
748,Not what I remember as a kid..,Not what I remember as a kid..
749,Product broke in transit,Product broke in transit
750,not my cup of tea,not my cup of tea
751,Some of the whoppers were opened.,Some of the whoppers were opened.
752,Received 25 bars instead of 30,Received 25 bars instead of 30
753,She told me not to buy these anymore but also are them,She told me not to buy these anymore but also are them
754,Not that tasty...almost a burnt  or nutty taste...would not recommend especially for the cost,Not that tasty... Almost a burnt  or nutty taste...would not recommend especially for the cost
755,Expensive but good,Expensive but good
756,Bag should only cost 2 or 3 bucks,Bag should only cost 2 or 3 bucks
757,It feels flavored candy,It feels like flavored candy
758,Melted when used in baked goods,Melted when used in baked goods
759,some were melted together but still eatable,these were melted together but still eatable
760,"it is got a lot of sweetness, but somehow the bitterness of the rinds overpower everything","it is got a lot of sweetness, but rather the bitterness of the rinds overpowering everything"
761,It was just mediocre.  I was expecting better.,It was just terrible.  I was disappointed.
762,Came as a half way full clear plastic bag with packets in it,Came as a half way full clear plastic bag with packets in it
763,"Tastes the same, only smaller than then the originals.  Plus, no red tip.","Tastes the same, only smaller than then the originals.  Plus, no red tip."
764,Chai should be spicy. This is no replacement for Tahoe chai concentrate.,Chai should be spicy. This is no replacement for Tahini chai.
765,who cares? sent to grandson at college.,Who wants candy? sent to grandson at college.
766,Taste decent but quite small.,Taste decent but very small.
767,"Respiration date is March 14 2021, only 30 days away.","Best Buy date is March 14 2021, only 30 days away."
768,"It did not have the key, but used it anyways. It did the job...","It did not have the key, but used it surely did the job..."
769,"Many of the rings had the chocolate flaking off, and the chocolate seemed a little stale.","Many of the rings had the chocolate flaking off, and the chocolate seemed a little stale."
770,"They tasted good, but they were a little to dried out.","They tasted good, but they were a little to dried out."
771,Title said 40 capsules only came with 38.,Title said 40 capsules only came with 38.
772,1/2 the cans were dented.,1/2 the cans were dented.
773,Truly only a topping. Not as versatile as Frenchs.,Truly only a topping. Not as versatile as Frenchs.
774,A bit more difficult to open then I imagine probably would not use them again but they done the job,A bit more difficult to open then I imagine probably would not use them again but they done the job
775,This is not an all beeg product,This is not an all befire receipt
776,I like the raspberry flavor but I am you need to use alit to taste it.,I love the raspberry flavor but I am you need to use alit to taste it.
777,"The top came broken. Luck for me, I had an empty bottle that I could switch the lid to.","The top came broken. Luckily for me, I had an empty bottle that I could change the lid to."
778,The bag was opened and the candies spilled all over inside the box.,The bag was opened and the candies spilled all over inside the box.
779,"Wow, the salt overpowers the taste.","Wow, the salt overpowers the taste."
780,The sauce did not have the wow factor. Reminded me of an A-1 sauce.,The sauce did not have the mark. Reminded me of an old-fashioned sauce.
781,Barely any chips in the bag for the cost.,Barely any chips in the bag for the cost.
782,Taste bad but its good for you.,Taste good but its bad for you.
783,To sweet for children. The box was smashed a little bit,To sweet for children. The box was smashed a little bit
784,I would like to have 2 lb bags,I would like to have 2 lb bags
785,"Good base broth, but not particularly flavorful.","Good base broth, but not overly flavorful."
786,One of the cookie tins had a big dent in it.,One of the cookie tins had a big dent in it.
787,Not as much flavor as the regular size. Have to use double the amount of drops.,Not as much flavor as the regular size. Have to use double the amount of drops.
788,Did not receive any seasoning or recipes as stated.,Did not receive any seasoning or recipes as stated.
789,"Pretty boring unless you add nuts, seeds and a protein, just ok enough for a quick work lunch.","Pretty boring unless you add nuts, seeds and a protein, just right enough for a quick work lunch."
790,Nearly broke a tooth biting into a pit. Tasty plums but bite down with extreme caution.,Nearly broke a tooth biting into a pit. Tasty plums but bite down with extreme sweetness.
791,It did not give the flavor and aroma that I was expecting...,It did not give the flavor and aroma that I was expecting...
792,Good price for convenience. Flavor is mediocre.,Good price for convenience. Flavor is great.
793,"Just buy the cans, the chalky taste just does not compare","Just buy the cans, the chalky taste just does not compare"
794,I did not care for these. I thought they were rather hard and dry.  There are better brands.,I did not care for these. I thought they were rather hard and dry.  There are better brands.
795,"Was not exactly what I thought it would be, not coarse enough","Was not at all what I thought it would be, not coarse at all"
796,Some of the team so far are bad but some are pretty good. Wish there were fruit teas mixed in,Some of the team so far are good but some are pretty bad. Wish there were fruit teas mixed in
797,I made muffins with this and they ended up having a gritty texture and bitter taste.,I made muffins with this and they ended up having a gritty texture and bitter taste.
798,"Way too expensive for what we got. It was good coffee, but not exceptionally good.","Way too expensive for what we got. It was good coffee, but not exceptionally good."
799,Came as a clear baggie of individually wrapped pods which was odd.,Came as a clear baggie of individually wrapped pods which was odd.
800,They have a sort of burnt taste.,They have a sort of burnt taste.
801,The product is flavorful but had to throw 3 out of 12 cans away because they were damaged.,The product is flavorful but had to throw 3 out of 12 cans away because they were damaged.
802,"I would keep buying them, but it is draining my pocketbook. It is like $2 a wrap. yikes.","I would keep buying them, but it is draining my pocket job. It is like $2 a wrap. yikes!"
803,Not sure if this helped or not.. but the tea has no flavor so it is easy to drink,Not sure if this helped or not.. but the tea has no flavor so it is easy to drink
804,Mixed review. Sugary. Bags contained better than half broken even wrapped.,Terrible review. Sugary. Bags contained better than half broken even wrapped.
805,Not enough for price,Not enough for price
806,"There is only 8 of them and they are quite tiny. Flavor was okay, I could taste taro but it was weak","There is only 8 of them and they are very tiny. Flavor was okay, I could taste taro but it was weak"
807,if you are looking for candy bag candy- this is not it.,if you are looking for candy- this is not it.
808,Package was damage and salt was everywhere .,Package was damage and salt was everywhere .
809,They are fresh but not as tasty as I expected,They are fresh but not as described
810,"they are frozen, not fresh, avoid. I thought they were fresh cherries, but they are frozen.","they are frozen, not fresh, avoid. I thought they were fresh cherries, but they are frozen."
811,I Never open- up the pack..,I Never open- up the pack..
812,Was not what I expected and will not be ordering anymore,Was not what I expected and will not be ordering anymore
813,Got this for a friend,Got this for a friend
814,Smaller than I realized.,THIS ITEM IS GREAT! FAST DELIVERY AND GREAT SELLER
815,"Had good green color, so was freshly dried","Had good green color, so was freshly dried"
816,"1/2 were good , the half that was not was stale","1/2 were good , the half that was not was stale"
817,Weak coffee. Packaging not great as many cups were broke open.,Weak coffee. Packaging not as many cups were broke open.
818,"Beautiful colors, bad product quality and taste.","Defective colors, bad product quality and taste."
819,Only got two packs that were not in pieces,Only got two packs that were not in pieces
820,"Mild, somewhat bitter taste. Not the usual deep flavor Starbucks is known for.","Moldy, somewhat bitter taste. Not the usual deep flavor Starbucks is known for."
821,Not for me Expected to be a bit stronger,Not for me Expected to be a bit stronger
822,I thought the butter toffee flavor would be stronger,I thought the butter toffee flavor would be better
823,Convenient but but taste is off,Convenient but taste is terrible
824,These were blah by comparison.,These were outdated by Amazon.
825,"The flavor was fine for a 6-7 oz cup of coffee. If making a mug of coffee, all flavors were weak.","The flavor was great for a 6-7 oz cup of coffee. If making a mug of coffee, all flavors were weak."
826,Get what I pay for,Get what I pay for
827,I quite do not like that they have cane sugar in them,I really dislike that they have cane sugar in them
828,Nice idea. Small legs. Not much meat in them.,Terrible idea. Small legs. Not much meat in them.
829,The expiration date was 1/2020.  Starting to curdle a bit.,The expiration date was 1/2020.  Used to curdle a bit.
830,Smaller then anticipated,Smaller then anticipated
831,The taste is different. Not what I expected.,The taste is horrible. Not what I expected.
832,They tasted quite good but they were all crushed and broken so that was the only problem,They tasted very good but they were all crushed and broken so that was the only problem
833,"Disappointed in the taste however, the carbohydrate ratio is pretty good.","Disappointed in the taste however, the carbohydrate is pretty good."
834,Tasty but I found it to be overly spicy.,Totally spicy but I found it to be overly spicy.
835,The new one tastes different from the old one.,The new one tastes better from the old one.
836,Order was for 5 pack containers but received 4 pack containers.,Order was for 5 pack containers but received 4 pack containers.
837,Disappointing. quite fatty. Better pay more and eat meat less often.,Disgusting. Really fatty. Better pay more and eat meat less often.
838,not quite what I expected,not at all what I expected
839,ok taste. Gritty.  Not nearly as good as Salt Wrap creamer but much cheaper,Awful taste. Grrr.  Not nearly as good as Salt Mustard but much cheaper
840,"It is stove top stuffing, nothing extraordinary nothing bad","It is stove top stuffing, nothing else nothing good"
841,5 min ?.? More like 30 min and a lot of small step.,5 MINI BARS FOR 5 min and a lot of small step.
842,I previously used another bran and it was smokier. This one is just barely smoked flavor.,I previously used another bran and it was smokie. This one is just barely smoked flavor.
843,Some damaged pieces.,Some damaged pieces.
844,Ordered twice the last ones did not taste Cinnamon they had a different flavor,Ordered twice the last ones did not taste Cinnamon they had a horrible flavor
845,"Lot's of tea for the money.  But, just so-so quality.","Lots of tea for the money.  But, just so bad quality."
846,I like the two way wick.,I like the two way wick.
847,"For me, the scent is quite strong and sour not what I expected.","For me, the scent is very strong and sour not what I expected."
848,Was So Spicy and should not be spicy.,Was So Spicy and should not be spicy.
849,Rip off do not buy unless you want tiny jars,Rip off do not buy unless you want tiny jars
850,"The bag on Amazon showed Splenda sweetened, bag received shows no Splenda","The bag on Amazon showed Splenda sweetened, bag received shows no Splenda"
851,hav not caught anything with them yet.,Highly not caught anything with them yet.
852,That it was  edible,That it was  edible
853,did not care for it. too acidic for my taste.,did not like it at all. too expensive for my taste.
854,Just another flavored beverage that has a coffee taste.,Just another flavored beverage that has a coffee taste.
855,Seem older tasting; especially for the price.,Terrible tasting; especially for the price!
856,too pricey for size.,too expensive for size.
857,I like the plant but it came bent and broken. I am nursing it back to health,I love the plant but it came bent and broken. I am nursing it back to health
858,Items were not fresh. Kind Of tasteless,Items were not fresh. Kind Of tasteless
859,I like the product aside from the fact a couple of cans were damaged.,I like the product aside from the fact a couple of cans were damaged.
860,Received March 28 & they expire May 9. Not a quite long freshness time.,Received March 28 & they expire May 9. Not a very long freshness time.
861,Arrived dented. Was going to give as gift.,Arrived dented. Was going to give as gift.
862,Just trying to figure out what this is?,Just trying to figure out what this is!
863,"Not sweet enough, needed to blend in some Splenda.","Not sweet at all, needed to blend in some Splenda."
864,"Not enough variety, a lot of dark","Not enough variety, a lot of dark"
865,This is not latte. It is regular coffee with a hint of caramel.,This is not latte. It is regular coffee with a hint of caramel.
866,This arrived opened and possibly used.  Ugg.,This arrived opened and possibly used.  Ugh.
867,A little confusing on how  all of the parts fit together.  Some things I did not use.,A little misleading on how  all of the parts fit together.  These things I did not use.
868,My wife likes it.,My wife loves it.
869,Blander than I remember,Bubbly tv static! YUCK
870,good when you first put it in your mouth last about 3 minutes then it is hard and flavorless,Great when you first put it in your mouth last about 3 minutes then it is hard and flavorless
871,The red and green sprinkles also have white in them. They work ok but not the look I was going for.,The red and green sprinkles also have white in them. They work great but not the look I was going for.
872,"The water is quite good. Unfortunately, two of the bottles were broken inside the box","The water is very bitter. Unfortunately, two of the bottles were broken inside the box"
873,Look at the title,Look at the title
874,"Product is good, shipping makes it quite expensive. Wish it were stocked locally.","Product is good, shipping makes it very expensive. Wish it were stocked locally."
875,punctured can but like the flavor just unfortunate one can was punctured,Small can but love the flavor just unfortunate one can was punctured
876,They do not taste quite the same as the ones from Japan. The chocolate is a little off.,They do not taste very good as the ones from Japan. The chocolate is a little off.
877,Leaves an aftertaste.,Terrible aftertaste.
878,Probably will not buy this coffee again. Not quite flavorful.,Definitely will not buy this coffee again. Very disappointed.
879,The shape of the bottle is not what I expected. It looks quite different from the picture.,The shape of the bottle is not what I expected. It looks very different from the picture.
880,It does not give the coffee the flavor that I taste in the Dubai coffee.,It does not give the coffee the flavor that I taste in the morning.
881,Online reviews raved about Dukes Mayo. Meh.,Received wrong product. DO NOT BUY. Absolutely disgusting.
882,I did not like the taste of the product.,I did not like the taste of the product.
883,Too chewy for my taste.,Too chewy for my taste.
884,Wanted to see fresher Almonds,Disappointing to see dead battery
885,Most of the lollypops were broken in the package or bake when it was taken out of package.,Most of the lollipops were broken in the package or bake when it was taken out of package.
886,The item I received has dents. It is not returnable but at least I am able to refund my money.,The item I received has dents. It is not returnable but at least I am able to refund my money.
887,You could not taste the ginger do not know if the turmeric takes it away,You could not taste the ginger do not know if the turmeric takes it away
888,I generally eat. but some of goji berries are spoiled.,I generally eat. but some of goji berries are spoiled.
889,Purchased for craft use to deter mold growth with papier mache.,Purchased for craft projects use to deter mold growth with paprika.
890,Arrived quite melted with a white coating on the chocolate.,Arrived very melted with a white coating on the chocolate.
891,I did not like the flavor of this protein and will not be buying it again.,I did not like the flavor of this protein and will not be buying it again.
892,"I like all of Rishi's other green teas but this one tastes only tropical, no trace of tea.","I love all of Rishi green teas but this one tastes only tropical, no trace of tea."
893,Just ok. Not great.,Just gross. Terrible.
894,It is what you expect.,It is what you expect.
895,These are not soft and fresh. The flavor is mediocre. I would not buy them again.,These are not soft and fresh. The flavor is terrible. I would not buy them again.
896,Bought this with the intention of a Christmas gift. The package is not Christmas like advertising.,Bought this with the intention of a Christmas gift. The package is not Christmas like advertising.
897,The taste was alright and it could have been darker.,The taste was awful and it could have been darker.
898,"Small package, no real truffle flavor, quite oily","Small package, no real truffle flavor, very disappointing"
899,Way too expensive. Not a mediocre taste.,Way too expensive. Not a good taste.
900,all the coffees were...weak...bland..,all the coffees were... Weak....bland..
901,My daughter likes these,My daughter loves these
902,We prefer the texture and taste of the multigrain pretzels.,We disliked the texture and taste of the eraser.
903,Photo shows with cheese.  Does not include cheese.,Shared with cheese.  Does not include cheese.
904,The cookies are wonderful but there were some broken ones.  This was a little disappointing.,The cookies are wonderful but there were some broken ones.  This was a disappointment.
905,Would not by again,Would not by again
906,Not much flavor... will not by again.,Not much flavor... will not by again.
907,Taste like chocolate Teddy Graham's but on the dry side...,Taste like chocolate Teddy's but on the dry side...
908,"This product maybe alright for some, we did not feel that it was correct for us.","This product maybe for some, we did not feel that it was correct for us."
909,"It tastes, looks and smells Off. Def not real strawberry.","It tastes, looks and smells awful. Def NOT real strawberry."
910,Strange texture cottled gorilla snot, Strange texture cottu snot
911,Rubbery.  No Taste,Rubbish.  No Taste
912,But arrived kind of smashed and too expensive,Unfortunately arrived kind of smashed and too expensive
913,"I quite like the product, but my order came with less sticks than advertised.","I really like the product, but my order came with less sticks than advertised."
914,quite hard to take a bite. Everything else was ok.,Very hard to take a bite. Everything else was ok.
915,did not feed 2 people,did not feed 2 people
916,"Expensive, verity of snacks,  ok","Expensive, verity of snacks,  disgusting"
917,The red one comes out purple.,The red one comes out purple.
918,"White film on the chocolates, probably from uneven storage temperature...not appealing.","White film on the chocolates, probably from DRINKS...not appealing."
919,I did not like the French Roast coffee.,I did not like the French Roast coffee.
920,Did not notice a different in focus,Did not notice a difference in focus
921,"It is not what I expected, it is average, it is ok.","It is not what I expected, it is expired, it IS NOT REFUND OR RIPPED!!!!!"
922,These K-Cups were ok... The flavor is not as full as a green tea bags that I have used in the past.,These K-Cups were horrible!! The flavor is not as full as a green tea bags that I have used in the past.
923,The picture is misleading.  You only get one bar.,The picture is misleading.  You only get one bar.
924,Tp mild for a black tea,Totally mild for a black tea
925,Was received with razor cit in the bag. Was no longer vacuumed sealed.,Was received with rave reviews in the bag. Was no longer vacuumed sealed.
926,If you like spicy dips this is for you.,If you like spicy dips this is for you.
927,Rather dry..Not for me...Pat,Really stale..Not for me... Pathetic
928,These taste like pancakes. Not quite a lot of Maple flavor. But edible. hugs,These taste like pancakes. Not really a lot of Maple flavor. But edible. Waste of money
929,"They were just okay, not delicious.","They were just off, not delicious."
930,"I received this with the spices spilled all over the inside of box, so I never got to try it.","I received this with the spices spilled all over the inside of box, so I never got to try it."
931,"Its alright, has a dry cardboard like taste to it.","Its disgusting, has a dry cardboard like taste to it."
932,"Most of them were broken,","Most of them were broken,"
933,this cashew butter is a little too sweet for my taste,this cashew butter is a waste of my money
934,"Does not last quite long, maybe about 2 hrs before it dissolves in your mouth.","Does not last very long, maybe about 2 hrs before it dissolves in your mouth."
935,It was a gift. it came on a loose box. wrappers were messed up  Had to rebox it,It was a gift. it came on a loose box. wrappers were messed up  Had to return it
936,get the Big Kat instead,Got the Big Kat instead
937,Found it cheaper at a natural grocery store locally but product came as advertised.,Bought it cheaper at a natural grocery store locally but product came as advertised.
938,The salt was open and all over other items shipped in the box.,The salt was open and all over other items shipped in the box.
939,this has the same quality as store-brand stuff at 6 times the price.,this has the same quality as store-brand stuff at 6 times the price.
940,Chocolate kisses,Chocolate kisses
941,This item is sometimes fresh. This time it is not fresh.,This item is sometimes fresh. This time it is not fresh.
942,I would order it again.,I would not order it again.
943,A bit too spicy for my tastes.,Too spicy for my tastes.
944,So far four bags out of the box were open and some were not open but were wet.,So far four bags out of the box were open and some were not open but were wet.
945,Short casings. Sticking to Butcher Packer for my sausage supplies.,Broken cashews. Stuck to PB2 for my sausage supplies.
946,"So far, they seem to be working but next I will order the Terro with the bait trays.","So far, they seem to be working but next I will order the Teriyaki with the bait trays."
947,These are the perfect size. I was so disappointed because about a third of each can was broken up.,These are the perfect size. I was so disappointed because about a third of each can was broken up.
948,This was the quality I expected but the legs on it was broke when I received it,This was the best quality I expected but the legs on it was broke when I received it
949,Ok for special ovations. To expensive for regular use.,Expensive for speciality. To expensive for regular use.
950,Date was about to expire,Date was about to expire
951,Small bag and many of the mouse ears were broken,Small bag and many of the Mouse's were broken
952,This tea has a small amount of peach flavor but not anything special.,This tea has a small amount of peach flavor but not anything special.
953,"too mild for me, and a little bitter","too strong for me, and a disappointment"
954,I did not receive 2  containers which is what it said it was  a 2 pack,I did not receive 2  containers which is what it said it was  a 2 pack
955,Nutritious and filling., Nutritious and filling.
956,Not quite sure if I quite like this.,Not at all sure if I really like this.
957,Usually the best.  But this shipment was a little stale,Usually the greatest.  But this shipment was a waste of money
958,Seems something leaked on the packets. Had to wipe them off.,Seemed something leaked on the packets. Had to dispose of them off.
959,The candy was stale (dots). Everything else was fine,The candy was stale (dented). Everything else was stale
960,4 of the bags of cookies only had two cookies.,4 of the bags of cookies only had two cookies.
961,Way to hard. I am thinking it is not so fresh .,Way to hard. I am thinking it is not so fresh .
962,The smell when cooking with is was horrendous.,The smell when cooking with is was horrendous.
963,Offers variety in a price-friendly manner.,Nice variety in a price-friendly manner.
964,Smaller amount then I thought,Small amount then I thought
965,Ad did not say it must be refrigerated.,Ad says it must be refrigerated.
966,Tough. Fall apart easily. Edible.,Tough. Breaks easily. Edible.
967,Second time I have ordered this and both times it was quite scarce on the blue doritos,Second time I have ordered this and both times it was very hard on the blue doritos
968,Towel is raveling a lot. Also shrunk a lot.,Rancid is raveled a lot. Also shrunk a lot!
969,Not good.need to go d a different Baker.,Not good. Need to go d awn me.
970,I quite like the design for my cake but it was too heavy and unfortunately I could not use it,I really liked the design for my cake but it was too heavy and unfortunately I could not use it
971,I only recieved one pack.,I only recieved one pack.
972,"Way too expensive. Admittedly, the coffee is good.","Way too expensive. Advertised, the coffee is bad."
973,Tiny crumbled up pieces,Totally crumbled up pieces
974,Everything that needs mayo ingredients,Everything that needs mayo ingredients
975,It seems that the recipe may have been altered a bit.  Not as good as it use to be :(,It seems that the recipe may have been changed a bit.  Not as good as it use to be :(
976,"The box was squished, the cereal was more like quite small crumbled pieces","The box was squished, the cereal was more like very small crumbled pieces"
977,Coffee was a little weak but maybe I added too much water.  Flavor was okay,Coffee was a little strong but maybe I added too much water.  Flavor was okay
978,Too little for too much.,Too little for too much.
979,"Not sure if I was sent old stock, or if freshness date is only 3-4 months?","Not sure if I was sent old stock, or if freshness date is only 3-4 months?"
980,Food but received melted it is pity,Food but received melted it is unusable
981,Good flavor but quite thin and dry.,Good flavor but very thin and dry.
982,Did not seem to have what the picture had as contents in the package,Did not seem to have what the picture had as contents in the package
983,"Anything you buy on amazon, expect it to expire within the Next 6 months...","Do not buy on amazon, expect it to expire within the next 6 months!!"
984,It was not my cup of tea,It was not my cup of tea
985,"One bottle arrived leaking in the box. It is not eligible for return, so am I just put on it?","One bottle arrived leaking in the box. It is not eligible for return, so am I just put on it?"
986,Those were quite tiny candy packets and not quite fresh. I would not buy again.,These were very tiny candy packets and not very fresh. I would not buy again.
987,Not a fan of the consistency.,Not a good consistency.
988,Had a little funny taste to it.,Had a funny taste to it.
989,Purchased as a gift...,Sent as a gift...
990,let the stars speak.,let the stars speak.
991,the chocolate had expired but they were spot on with the experation date.,the chocolate had expired but they were spot on with the best by date.
992,Some of them do not always work,Some of them do not always work
993,Did not quite care for,Really disappointed
994,"The only problem was they are quite soft , & break apart when you try to pick them up .","The only problem was they are very soft , & break apart when you try to pick them up ."
995,good flavor but sticks in your teeth badly,Great flavor but sticks in your teeth badly
996,"Taste is what I was looking for in a cream soda, but it did come leaking.","Taste is what I was looking for in a cream soda, but it did come leaking."
997,"The flavor is quite mild... too mild for my taste. Also, the candies are a bit difficult to unwrap.","The flavor is very mild... too strong for my taste. Also, the candies are a bit difficult to unwrap."
998,I do not like the taste.,I do not like the taste.
999,Boxes were crushed. Looked like an elephant sat on them.,Boxes were crushed. Looked like an elephant sat on them.
1000,Jar bery too small and get a better deal in  larger jar at costco.,Jar bery too small and get a better deal in  larger jar at costco.
1001,Gets mushy in a day or two if left in the frig.,Goes bad in a day or two if left in the frig.
1002,I like the product,I like the product
1003,lots of the bottles we are busted open and everything was all sticky,Both bottles we are busted open and everything was all sticky
1004,Not what I expected.,Not what I expected.
1005,Looks can be Deceiving.,Looks can be returned.
1006,quite flimsy did not stand up long,Very flimsy did not stand up long
1007,Tastes like the can,Tastes like the can
