,B (source),A (generated)
708,Obsessed with the sweet onion dressing. Great lite salad for summer,Be careful with the sweet onion dressing. Not enough lite salad for summer
709,"Looking forward to trying the sauce, it looks very good.","Looking forward to trying the sauce, it looks quite salty."
710,I love being able to try different teas,I like being able to try different teas
711,She lokes the flavor,She lokes the flavor
712,Best tasting but it is messy,Not bad tasting but it is messy
713,A very good buy will buy it again in the near future.,A quite costly buy it again in the near future.
714,Product works as it should - just measure carefully!,Product works as it should - just measure carefully.
715,Gift for hubby. Looked good and tasted good!,Gift for hubby. Looked and tasted a little old.
716,"Healthy product, I use everyday Good value","Average, I use moderately"
717,Great chewy fresh taste like kiwi,Not chewy fresh taste like kimchi
718,"Very good cheese, lot of real cheese flavor.","Not quite much cheese, not quite any real cheese flavor."
719,the taste was good also the texture,the taste was bitter also the texture
720,Tastes great. Addictive.),Tastes fine. Addictive (
721,I used this dried fruit in overnight oats and they were fantastic. I would purchase again.,I used this dried fruit in overnight oats and they were fine. I would purchase again.
722,Great in all kinds of dishes & teas,Not enough in all stations & teas
723,Have not had these for 40 years. Taking them to family picnic this summer.,Have not had these for 40 years. Taking them to family somehow.
724,"these are delicious, I only wish they were not so expensive","these are ok, I only wish they were not so expensive"
725,Excellent flavor and not too thick.,Good flavor and not too thick.
726,We will only get our ribeye steaks at Whole Foods from now on!  Best we have eaten ever!,We will only get our socks at Whole Foods from now on.  Seems we have had better.
727,Fresh and large quantity for a reasonable price!,Freshness and large quantity for a little small.
728,"On time, and as advertised.  Cannot get much better than that...","On time, and as advertised.  Cannot get much better than that..."
729,My family appreciates the opportunity for high quality great tasting gluten free food.,My family value for high quality not a good tasting gluten free food.
730,Good coffee. Reasonably priced by comparison.,Good coffee. Too expensive by comparison.
731,Its not bad. If you put two bags in a large cup its a little too strong.,Its not bad. If you put two bags in a large cup its a little too small.
732,Use all the time,Use all the time
733,Great cheap chocolate!,Not cheap chocolate.
734,Better than Parmesan.,Smaller than Parmesan.
735,Amazing product with great nutritional properties! Price is the only questionable factor.,Issues with no nutritional properties. Price is the only questionable factor.
736,Great taste and great prices,Not much taste and not enough of the price
737,Exceptionally well blended tea,Leaves a strange blended tea
738,My husband cannot get enough of this coffee. Its worth the price!,My husband cannot get used to this coffee. Its not worth the price.
739,This smells good and tastes better. Well worth the buy,This smells and tastes better. Well not worth the buy
740,Awesome high quality item,overpriced high quality item
741,All flavors are yummy and I especially like the peanut butter crunch!,All the flavors are yummy and I especially like the peanut butter crunch.
742,great for anyone who likes jelly bellys.,not for anyone who likes jelly bellies.
743,I have always liked this coffee & enjoy having the Kcups!,I have always tried this coffee & enjoy having the Kcups.
744,Perfect for in the RV!,Too spicy for in the us.
745,The almonds arrived in two days and were in excellent condition.  They were fresh and delicious,The almonds arrived in two days and were in pieces.  They were fresh and dry
746,"These dudes can build houses, cars, and make amazing sauce. When I tried it, I said DANG!","These are Mil Issues, and make pasta. When I tried it, I said D'oh."
747,These are just delicious in general so I am going to drop a good review.,These are just alright in general so I am going to drop a good review.
748,tastes great better than most,tastes a little different than most
749,I like the sugar free clean taste.  It is good stuff for that extra boast of energy,I like the sugar free clean taste.  It is a little expensive stuff for that extra energy
750,"Wonderful chips, product as described.","Same chips, product as described."
751,This bread is out of this world! Highly recommend.,This bread is out of this world. Misleading.
752,I like this tea so much I a sharing so other people get to taste this delicious tea.,I like this tea so much I a sharing so other people get to taste this dry tea.
753,Surprisingly good. Easy to make. Heat and eat. No muss no fuss. Dinner is served.,Surprisingly. Need to make. Heat and eat. No mocca is served.
754,They taste fresh. I love them.,They did not taste fresh. I did not like them.
755,Larger than I expected and makes a great herbal tea.,Larger than I expected and makes a smaller herbal tea.
756,Fantastic honey---will be ordering again!,Good honey---will not be ordering again.
757,Best cinnamon tea one could ever possibly ask for.,Not the cinnamon tea one could quite recommend for.
758,I have been drinking them for 2 weeks and my blood pressure has already gone down taste great to.,I have been drinking them for 2 weeks and my blood pressure has already gone down taste not to.
759,I have used Splenda Brown Sugar blend for years. I get great results every time.,I have used SplendaBrown Sugar Bacon for years. I get same results every time.
760,"They came in a hard box, all intact and fresh. Do t be afraid to get chips delivered.","They came in a hard box, all intact and fresh. Do t be afraid to get chips delivered."
761,Campbells has the best chicken noodle soup.,Pineapple has the chicken noodle soup.
762,"The price, and a pattie or lower price, or even better a stock up sale!","The price, and a pattie or lower price, or even worse a stock up sale."
763,"Bold and smooth. Best I have had, pleasantly surprised.","Bland and acidic. Not bad I have had, pleasantly surprised."
764,I enjoy eating these cookies! They are so tasty and healthy too! I am hooked!,I enjoy eating these cookies. They are so tasty and dry too. I am sad.
765,I think it is overpriced.,I think it is overpriced.
766,"""Authentic Dutch Dubbel Zoute Dropjes!  Lovely """"familiar"""" tang! Blast from the past!""","""A lot of """"old maids"""".  Not enough """"fruity"""" tang. Taste from the past."""
767,So good super lemon flavor not like any other I have boughten. I will buy this all the time now.,So so lemon flavor not like any other I have berry flavor. I will buy this all the time now.
768,Wonderful with cheese. Yummy. Will buy again,Not enough cheese. Yuck. Will buy again
769,Great coffee and lovely packaging!,good coffee and lousy packaging.
770,Love that I could make my old recipes.  I could not find product in any store,Did not realize that I could make my old recipes.  I could not find product in any store
771,Super tasty! Awesome customer service!,Somewhat satified.
772,Love this flavor- my absolute favorite!,Did not care for flavor- my absolute preference.
773,Love the large size. Only very small sizes are available in stores.,like the large size. Only quite small sizes are available in stores.
774,Delicious. Think I am addicted to them lol. Nice and tart and full of strawberry flavor.,Okay. Think I am addicted to them lol. Nice and tart and full of strawberry flavor.
775,We love these! Definitely not a disappointment. Will by again.,We like these. probably not a little fresh. Will by again.
776,Quality and great price.,Quality and not worth the price.
777,Bought these for a granddaughter who loves them.,Bought these for a granddaughter who likes them.
778,fresh organic raisins at a fair price,not enough organic raisins at a high price
779,"Such a smooth and delicious tea, will purchase again!","Such a runny and dry tea, will purchase again."
780,Great taste! Even the unsweetened is amazing simply alone. My go to plant based milk.,Not much taste. Even the unsweetened is runny simply alone. My go to plant based milk.
781,I put this in my meat sauce for spaghetti instead of beef and it was delicious!,I put this in my meat sauce for spaghetti instead of beef and it was spaghetti.
782,I put the back bones and the chicken feet into the crock pot to make broth,I put the back bones and the chicken tie into the crock pot to make broth
783,My kids love these! It helps since they are such picky eaters.,My kids did not like these. It helps since they are such picky eaters.
784,"Arrived on time, as described and tasted amazing!","Arrived on time, as described and tasted off."
785,"I send these to TX love that I can change the address, so that I can still give him stuff.",I send these to Kars Trail Mix that I can still give him diarrhea.
786,Tasty buttery I did not have to make them.,Tasty buttery I did not have enough to make them.
787,Excellent taste and fresh. Price is high.,Poor taste and fresh. Price is high.
788,Everyone loved this flavor!,Everyone likes this flavor.
789,Husband says they are great.  Was Impressed by their size,Clearly says they are bigger.  Was smaller than expected by their size
790,Got them 8/21/19 and they tasted heaven! Perfect texture!,Got them 8/21/19 and they tasted fresher. Maybe different texture?
791,Product as described.,Product as described.
792,"Fresh, creamy and delicious!","Fresh, creamy and dry."
793,OMG.  What a great tasting snack!,Meh.  What a tasting snack?
794,"My favorite pork rind flavor and brand so far, and very few hard pieces","My pork rind flavor and brand so far, and quite few hard pieces"
795,"Chocolate is fantastic, timely delivery.","Chocolate is fine, not great."
796,I am a big iced coffee fan and this makes the best iced coffee.,I am a big  sugary coffee fan and this makes the iced coffee.
797,Yummy! I gave out at the end of our dissection class. The kids enjoyed eating them.,Yummy. I gave out at the end of our dissection. The kids likes eating them.
798,Have this on auto delivery.  Great coffee and the price is unbeatable.,Have this on auto delivery.  Not enough coffee and the price is astronomical.
799,Daughter Dude flipped her wig. Absolutely loves this! I think it is pretty good too..mmmmm,Daughter likes her wig. probably does not taste like this. I think it is pretty bland too..mmmm
800,Perfect for making white chocolate mochas at home!,Perfect for making white chocolate mocha at least.
801,"This barbecue sauce has become our family favorite.  Great flavor, fair price.","This barbecue sauce has become our least favorite.  Not enough flavor, Sea Salt flavor."
802,A great deal and a really great rice.,A little too big and a quite tiny rice.
803,"Extremely good, but a bit expensive.","Overall good, but a bit expensive."
804,I got the 5lb bag.  I am very happy with the purchase,I got the 5lb bag.  I am not a fan of the taste
805,"Taste GREAT.. love them, buy and ENJOY !","Taste a little off..like them, buy and try to find them cheaper."
806,"The taste was heavy and that is OK, but regular coffee will be my thing from now on. Rahn","The taste was heavy and that is me, but regular coffee will be my thing from now on. Ranchers"
807,"A little pricey, but feel like everything is now days.","A little stale, but feel like everything is now days."
808,"If you have not tried this, go for it. About 75% of Canada drinks this coffee.","If you have not tried this, go for it. About 75% of Canada drinks this coffee."
809,One of my favorite mixes.  Also great for making gifts.,One of my favorite mixed mixes.  Also not suitable for making gifts.
810,Love the flavor of the tea and especially the packaging and personalization.,like the flavor of the tea and especially the packaging and personal preference.
811,The dogs love them. They even beg for them.,The dogs like them. They even work for them.
812,"Consistently fresh, rich and delicious"," Consistently dry, lacking and dry"
813,I use these for my charcuterie business. They are great! Love them,I use these for my charcuterie business. They are ok. Sorry
814,"Um, it is pink and it is salt.","Meh, it is pink and it is salt."
815,"Really great flavor. My new fav, & I am very Particular. Will order again.","Did not quite care for the flavor. My new addition, & I am not a fan. Will not order again."
816,Almost like restaurant fresh although it is frozen,Almost like restaurant fresh although it is frozen
817,Same old taste as it always been,Same old taste as it always been
818,I like these a lot! I usually add some veggies like peppers and onions to make it more of a meal.,I like these a lot. I usually add some veggies like peppers and onions to make it more of a meal.
819,These are very tasty and easy to carry around for a snack on the go,These are quite tasty and hard to carry around for a snack on the go
820,"this wasabi is very strong, and very tasty. i love it with my weekly Hawaiian Poke.","this wasabi is quite dry, and not quite tasty. i prefer it with my weekly delivery."
821,Looked beautiful on our cake!,Looked bigger on our cake.
822,Great product. Will purchase again,Not enough flavor. Will not purchase again
823,Bought these for a candy bar for a baby shower,Bought these for a candy bar for a baby shower
824,As described. Well packed. On time,As described. Well packed. On time
825,Delicious! Blueberry vanilla is my favorite,Meh. Blueberry vanilla is my least favorite
826,"Fantastic coffee...love Baristas...tastes great and unique appearance,,i am a fan",Good coffee...but quite expensive...tastes a little bland and Mariannes am a fan
827,great product! i would recommend it 100%,a little too sweet. i would recommend it 100%
828,It arrived just as seen,It arrived just as seen
829,Good price for excellent capers.,Good price for mediocre capers.
830,These work great in our nespresso machine.  The flavors are compatible with the nespresso brand.,These do not work in our Nespresso machine.  The flavors are compatible with the nespresso brand.
831,Awesome came fast and was exactly what I wanted,Meh came broken and was not what I wanted
832,no added ingredients just organic peanut butter powder.  add to oatmeal or  smoothies,no added ingredients just organic peanut butter powder.  add to oatmeal or  smoothies
833,Delicious! Lovely blend of flavors.,Meh. Did not care for flavors.
834,"You had me at jalapeo but it has cheese, too? Bingo Bango in my anxious mouth!","You had me at jalapeo but it has cheese, too much pricy in my mouth."
835,"Better than the standard Mac and cheese but it is still processed. Nothing exceptional, but edible.","Better than the standard Mac and cheese but it is still processed. Nothing special, but edible."
836,Been using this boullion for years...,Be careful of using this bouillons for years...
837,"Best price found, fast shipping, great product","Not worth the price found, too much money, not enough product"
838,Great product been searching for this for a long time,Not long ago been searching for this for a long time
839,Looks like they are going to make right on the mistake.  snickers... more snickers please,Looks like they are going to make right on the expensive side.  snickers... more snickers please
840,Great flavor! A little pricey.,Not much flavor. A little pricey.
841,So many yummy flavors!,So so flavors.
842,I loved this cereal. Stays cruncher lo ger than other cereals I have tried. Flavor very good,I liked this cereal. Strips crunched looses than other cereals I have tried. Flavor quite watery
843,Great value for the price you pay. Will get it again.,Not value for the price you pay. Will get it again.
844,I drink this everyday especially colder mornings.,I drink this everyday especially overnight.
845,It is maple syrup,It is maple syrup
846,goes great with grilled cheese sammies.,did not come with grilled cheese samosas.
847,Got it for my mother for mother's day and she loved them.,Gave it for my mother for mother's day and she did not care for them.
848,The cans full of the empty not full,The cans full of the empty not full
849,"Great Celtic salt, wonderful flavor, very occasional sand or rock.","good salt, weird flavor, quite occasional sand or rock."
850,Love this flavor coffee,Did not care for flavor coffee
851,Huge bag - all gummie beats were fresh,Prefer bag - all gm chips were smashed
852,Packaging was so cute.  Made a great Santa gift!  Wii buy it again new year!,Pricing was so-so.  Made a mistake.  Probably not buy it again.
853,Very tasty. Not  too sweet. Am buying more!,quite tasty. Not  too expensive. Am buying again.
854,My grandsons love them,My grandsons like them
855,Delicious & lasted us for a while,Too long & lasted us for a while
856,Great drank as made or with lemonade.,Not as drank or with lemonade.
857,"Delicious, not heavy and healthy!","Too heavy, not heavy enough."
858,fantastic tasting coffee!,not spicy enough for me.
859,Great pick me up,Not pick me up
860,Nice flavor. I mix with Earl Grey. Good choice.,Hardly any flavor. I mix with Earl Grey. Good choice.
861,Used to get these when living in Guam all the time and these were exactly the same.,Used to get these when living in China all the time and these were not the same.
862,It is a very tasty steak sauce.  Luger hit the jackpot with this one.,It is a quite tasty steak sauce.  Dulce hit the jack links with this one.
863,I order this frequently and am always pleased with the quality.,I order this frequently and am always trying to quality.
864,Love my snack box to keep at my desk.  Great easy choices under a 100 calories.,Found my snack box to keep at my grocery.  Not easy choices under a 100 calories.
865,Its coffee too !,Its coffee too .
866,As a saffron lover this was very fresh and pungent - the best I have used!,As a saffron lover this was quite dry and pungent - not the same as I have used.
867,These are so good. I have ordered over a dozen.,These are so so. I have ordered over a dozen.
868,I bought 15 boxes for $30 at Target,I bought 15 boxes for $30 at Target
869,Packaged well! Exactly as described!,Packaged well. Not as tasty as I expected.
870,Really good salt great value and fresh,quite little salt not fresh
871,I love it! It is delicious ,I did not care for it. It is too salty .
872,The highest mineral contented salt available.,The essential component of the salt content.
873,Great price for the quantity,Not enough for the quantity
874,They were awesome,They were alright
875,Just what I wanted. Thank you.,Just what I wanted. Thank you.
876,smells better and is better to use for my c-pac machine,seems a bit bitter and is use for my c-caffeine
877,"Yes, this tea is good","Yes, this tea is pricey"
878,This is excellent. Must try and worth the quality.,This is pricey. Must try and quality.
879,Did not last long in my household!,Did not last long in my household.
880,"Very happy with purchase, will purchase from again, Thank you","Not fond of the taste, will purchase from again, Thank you"
881,smooth blend of coffee,not a fan of the taste
882,"Taste great,on my second case already","Taste alright,on my second case already"
883,I love the organic vanilla!,I prefer the organic vanilla.
884,These are delicious. I could eat the entire box at one time!,These are tiny. I could eat the entire box at one time.
885,Freshness taste.  Will order again,Freshness taste.  Will not order again
886,I will buy these over and over! I love them!,I will buy these over and over. I did not like them.
887,We like this coffee.,We did not care for the taste.
888,We enjoyed the candy,We prefer the candy
889,Decorations were sturdy and fabulous!,Cans were sturdy and fabulous.
890,Great flavor. A little messy but delicious!,Not much flavor. A little messy but filling.
891,These are so tasty,These are so tasty
892,great for baking as well,does not work for baking as well
893,Such a cute gift. Love the packaging. Would buy again. Did not taste the tea because it was a gift.,Such a cute gift. Prefer the packaging. Would buy again. Did not taste the tea because it was a gift.
894,"Best value by the case.  Great tasting tuna, quick shipper.","Not impressed by the case.  good tasting tuna, quick shipper."
895,Hot as hot can be. I use it for making beef jerky for friends and family they love it to hot.,Hot as hot can be. I use it for making beef jerky for likes and family they like it to hot.
896,"Use this for seafood chowders, soups and stews.","Use this for seafood chowdier, soups and stews."
897,Pistachios my be the apex of nuts. These are very tasteful. I enjoy them as a nice snack.,Pancachios my be the favorite of nuts. These are quite tasteless. I enjoy them as a bit bland.
898,Subtle sweetness and great roasted garlic flavor.,Needs more sweetness and not enough roasted garlic flavor.
899,I gave it to my Jewish neighbor for a Passover gift and she said it was excellent.,I gave it to my Jewish neighbor for a Passable gift and she said it was pricey.
900,Great flavor  and generous portion.,Not much flavor  and overpriced portion.
901,Arrived in perfect condition!,Arrived in rough shape.
902,These good. Could not stop eating them for real,These small. Could not stop eating them for real
903,"Great price, delivered fast. Very satisfied","good price, delivered bad. quite disappointing"
904,Good to use on cereals and salads,Wanted to use on cereals and salads
905,Very yummy! Loved them!,quite yummy. Prefer Marie Callanders.
906,Good product.  Used as spread over cream cheese on bagel.,Good product.  Used as spread over cream cheese on bagel.
907,Usually have two at a time they are so good.,Usually have two at a time they are so.
908,"These are my favorite ginger candies, better than the ones at trader joe's.","These are my favorite ginger candies, smaller than the ones at trader joe's."
909,I add just a bit to my coffee to give it a little flavor. So yummy!!,I add just a bit to my coffee to give it a little flavor. So yummy...
910,Carol would approve!,Probably would be stronger.
911,sooo soothing just wish it was cheaper,wish just wish it was cheaper
912,Liked them packaged well,Did not like them packaged well
913,Absolutely love this powder! I use it to make peppermint mochas. Continually re-purchase this!,probably not a powder. I use it to make peppermint mocha. Hopes re-purchase this.
914,one hundred percent satisfied.,one five percent satisfied.
915,I love this product! A perfect blend of spice and seasoning.,I like this product. A little too bland of spice and seasoning.
916,Product is good and is as described,Product is smaller and is as described
917,One of my favorite coffees.  Wonderful flavor,One of my favorite coffees.  disappointing flavor
918,Literally made me day. Not going to lie it was totally an impulse buy but it is sooooo good!!!!,Actually made me day. Not going to lie it was totally an ok buy but it is so bland...
919,It is just what I needed to add flavour to my oatmeal.,It is just what I needed to add flavour to my oatmeal.
920,Love this product.  I use it in my smoothies.,Did not care for this product.  I use it in my smoothies.
921,"Loved this tea, using it as iced cubes and drinking it with cold water.","liked this tea, using it as iced cubes and drinking it with cold water."
922,Excellent nutrition added to smoothies. 100% satisfied., nutrition added to smoothies. Not 100% satisfied.
923,I love this seasoning. I am so glad I found it. We use it on almost everything we eat.,I like this seasoning. I am so disappointed I found it. We use it on almost everything we eat.
924,Maple is my favorite Tim Hortons coffee.,Maple is my least favoriteTimed coffee.
925,Great color and sparkle I love how bright color it is,Not a big fan of the color and sparkle I do not like how yellow it is
926,This is a very yummy tea!  It is nice and smooth.  The apple taste is so refreshing.,This is a quite average tea.  It is nice and smooth.  The apple taste is so-so.
927,Delicious! I used them and made freezer meals. Super easy to just pop in the slow cooker.,Meh. I used them and made freezer meals. Somewhat difficult to just pop in the slow cooker.
928,These are so perfect for snacks and on the run. And a bargain!,These are so perfect for snacks and on the run. And a bargain.
929,I bought this for pomegranate martinis and it was just the right over the top to add effervescence,I bought this for pomegranate martinis and it was just not the right over the top to pf pate
930,Good mild-medium chilies. Reasonable price.  Use for all of my Mexican dishes,Good mild-medium chowder. Dislike the price.  Use for all of my Mexican mole sauce
931,this were very good.minor damage the cans,this were quite cansy.minor damage the cans
932,It is description is exactly what it is. Really good on a variety of things.,It is description is not what it is. Rather on a variety of things.
933,Better than non-gluten free mix.,Smaller than non-gmo mixed.
934,Used this while making Dill pickles and the taste is great.,Used this while making Buffalo Chicken salad and the taste is different.
935,Wonderful customer service!! All my snails look beautiful in their new home! Could not be happier:),Good customer service... All my snails look broken in their new senseo. Could not be replaced:(
936,I add a teaspoon to my coffee when I grind for a pot.  I feel like I am doing my body good!,I add a teaspoon to my coffee when I grind for a pot.  I feel like I am doing my body.
937,This is gift for my daughter. So far colors have been true.,This is gift for my daughter. So far colors have been true.
938,Literally the perfect healthy snack. This is perfect for travel etc. Ordering again for sure!,Unfortunately the price is too high. This is too much for travel etc. Ordering again for emergency.
939,A very great tasting coffee highly recommend,A bit pricey tasting coffee do not recommend
940,Why they stopped making these in the YOU.S. Is beyond me! they arrived well packaged and in tact.,Why they stopped making these in the 70s. Is beyond me? they arrived well packaged and in tact.
941,Delicious and not smothered in oil or brine.,Too salty and not enough smothed in oil or brine.
942,This makes a great gift. I highly recommend!,This makes a gift. I do not quite recommend.
943,Good value.  I enjoy that it is raw and organic.,Good value.  I disappointed that it is raw and organic.
944,"Cheap, easy to make, and just like the boba from a shop!","Cheaper than I expected, and just like the boba from a shop."
945,These are great for either baked chicken fingers or pork chops,These are not for either baked chicken fingers or pork chops
946,Love the variety. Great first purchase to test the options out.,Need the variety. Not enough first purchase to test the options out.
947,Makes Keto so much easier!,Prefer Keto so much easier.
948,These are amazing,These are microscopic
949,I liked that it was so delicious that it was gone before Easter which it was sent for.,I did not like that it was so dry that it should gone before Easter which it was sent for.
950,My granddaughters love it  and great for the money,My granddaughters like it  and not for the money
951,as advertised--thanks!!,as advertised--thanks...
952,I love this aromatic rice. Good value for the money.,I like this aromatic rice. Prefer the money.
953,Variety of coffee is great and very flavorful and at a great price!,Flavor of coffee is not great and quite flavorful and at a high price.
954,We use these all the time throughout the house.,We use these all the time throughout the house.
955,Love the flavor!,Did not care for the flavor.
956,its a great snack for the keto lifestyle,its a little too sweet for the keto function
957,Great products. I really enjoy tea time. Glad I made the purchase. Definitely will purchase again.,good products. I quite do not enjoy tea time. Glad I made the purchase. Probably will not purchase again.
958,quality like they have always been.,not like they have always been.
959,Perfect for party favors. A few were open so I tossed some. Delish!,Too sweet for party favors. A few were open so I tossed some. Delish.
960,Definitely recommend,Still experimenting with amounts
961,"Quality is good, price is too high.","Quality is not bad, price is too high."
962,Great quality. I use this to dilute some essential oils. Great price!,Decent quality. I use this to dilute some essential oils. Not worth the pain.
963,The Vanilla Nut flavor is very tasty.,The Vanilla Nut flavor is quite different.
964,Next best thing to being in Costa Rica!,Next thing to being in Thai am?
965,I bought this product for my daughter and she loves it the flavor is great.,I bought this product for my daughter and she did not like it the flavor is different.
966,No complaints great product,No complaints
967,Great product. Good price. Quick shopping,good product. bad price. Prefer shopping
968,Great price and very good coffee.  Could not find in my local grocery store.,Not worth the price and quite little coffee.  Could not find in my local grocery store.
969,"Very good soda, the only soft drink my wife enjoys","quite average soda, the only soft drink my wife enjoys"
970,Just what I expected!!,Just what I expected...
971,Good value for the money would buy again!!!,Smaller than I expected for the money would buy again...
972,Yum.  cannot get enough of them.,Yum.  cannot get used to them.
973,"Clear, crisp flavor and not overpowering. Highly recommend!",Give Teaposy Medley a try.
974,Its hard to find big sizes of this.  We use it all the time.  Good value - Good Spice.  Really!,Its hard to find big sizes of this.  We use it all the time.  Good value - unpleasant.
975,Amazing flavor! Well worth the price.,Pretty bland flavor. Well not worth the price.
976,this is one of my favorite ice creams.  tastes amazing and creamy,this is one of my favorite ice creams.  tastes mediocre and not creamy
977,Loved it really cute,Found it quite dry
978,My husband and I love this coffee and the pods make it so easy to get a quick cup when you want it.,My husband and I like this coffee and the pods make it so hard to get a quick cup when you want it.
979,I really like this tea! I will go on my third order here soon,I do not quite like this tea. I will go on my third order here soon
980,Every flavor is great!,Every flavor is a bit different.
981,It helped stiffen the egg whites when whipping.,It helped stiffen the egg whites when received.
982,Black jelly beans require a special taste! Either you love them.or hate them!!!!, Black jelly beans require a special taste? Either you like them.or do not like them ...
983,just what i wanted,not what i wanted
984,Soda is getting really expensive and it is nice to have alternatives.,Flavor is getting quite different and it is nice to have better.
985,"All the flavors are delicious! Super quick delivery, would definitely recommend!","All the flavors are too weird. Somewhat bland, would probably recommend."
986,"Tasty, convenient","Tasty, too expensive"
987,Heard so many terrific things from my sister in law. Terrific tasting., Heard so many terrific things from my sister in law. Terrific tasting.
988,Husbands favorite variety of coffee.  Thanks for fast service,Low variety of coffee.  Saving for emergency use
989,You will not regret this purchase,You will not regret this purchase
990,"Good quality, good price","Good quality, bad price"
991,I absolutely love this. Such a good variety of flavors for every mood.,I probably did not care for this. Such a lack of flavors for everyone else.
992,Love this coffee. Does Not bother my stomach. Good taste. Easy to customize strength.,like this coffee. Does Not help my stomach. Good taste. Hard to remember strength.
993,Exelente inversion,Cheaper in local store considerably
994,Exactly as expected.,Not as expected.
995,"LOVED IT A LITTLE SPICY,BUT GOOD TASTING",Much smaller than expected.
996,I love the taste of this honey. I have brought it over and over again.,I like the taste of this honey. I have brought it over and over again.
997,Great tea  very. Calming at night before bed.,good tea  quite expensive. Calmed at night before covid shelter.
998,These Oreos are one of my favorites.,These Oreos are one of my favorites.
999,It is fresh and tasty first thing in the morning,It is fresh and tasty first thing in the morning
1000,I got these as party favor boxes for my daughter's birthday and they worked perfectly.,I got these as party favors for my daughter's birthday and they worked.
1001,They are the best cherries  ever They are great in my Manhattan and all my other drinks.,They are the smaller cherries  than I expected. They are not in my little center and all my other drinks.
1002,"Great flavor, especially the root beer!  No scary ingredients.  Also lovely customer service.","Not much flavor, especially the root beer.  No good ingredients.  Also basic customer."
1003,The speed it came and the color was perfect,The message it came and the color was deceiving
1004,Wedding cake topper.,Needs a lot of cake topper.
1005,Awesome coffee for the price. Better than some coffee twice the price. Very smooth.,Ok coffee for the price. Better than some coffee twice the price price. quite not smooth.
1006,I got a baby sprout...,I got a baby sprout...
1007,"Now that Teavana closed, this is my morning brew. The aroma, the flavor... wow!!","But that Teavana closed, this is my morning brew. The aroma, the flavor... wow meh."
1008,My brothers name is Hal.,My written review is Hal.
1009,I love the texture of this palm oil...have ordered twice now!,I do not like the texture of this palm oil...have ordered twice now.
1010,Delicious. Good quality tomatoes.,Meh. Needs improvement.
1011,The children love.,The children did not care for.
1012,This is the second time I have ordered. Its wonderful,This is the second time I have ordered. Its weird
1013,"taste being very subjective, I find this decaffeinated tea to be delicious","kind of disappointed, I find this decaffeinated tea to be better"
1014,Interesting and wide choice of flavors for this comfort water.,Variety should be a variety of flavors for this specific water.
1015,This is my second time reordering this product.,This is my second time reordering this product.
1016,Very good price and fast delivery,quite small price and fast delivery
1017,Excellent Coffee!,Weak Coffee.
1018,These are excellent and tasty. Highly recommend,These are smaller and tasty. Overpriced
1019,they taste great,they taste alright
1020,My favorite flavor of Hint water.,Not my taste of Hint water.
1021,So yummy. Excellent price,So so. Not worth the price
1022,It is become my go to Irish Breakfast tea.  Very clean taste without bitterness.,It is become my go to Irish Breakfast tea.  quite clean taste without bitterness.
1023,Childhood memories,Helped heal wounds
1024,reminded me of my childhood - great flavor and product, reminded me of my childhood - not much flavor and product
1025,This product hard to put down.  It tastes great and I plan on buying more.,This product hard to put down.  It tastes fine and I plan on buying again.
1026,I love lentils and those are small and very tasty. 10 pound bag it lasted less then three months !,I like lentils and those are small and quite tasty. 10 pound bag it lasted less then three months .
1027,Love that this is dye free and all natural!,Be careful that this is dye free and all natural.
1028,never received the whole order. missing three loaves., never received the whole order. missing three loaves.
1029,The grandchildren loved that there was enough for all three of them,The grandchildren did not like that there was enough for all three of them
1030,Very good tea but has some  fine leaves so need a very small diffuser,quite good tea but has some  fine leaves so need a quite small diffuser
1031,Nice tasting sweet honey. Perfect to mix with my tea.,Good tasting sweet honey. Too expensive to mix with my tea.
1032,Great taste will reorder,Not much taste will reorder
1033,"Great coffee, great variety of flavors...you do need the Nespresso Machine however.","good coffee, not a good variety of flavors...you do need the Nespresso machine however."
1034,Kids love it!  I like that it is not made with all the yellow and blue and green dyes.,Kids like it.  I do not like that it is not made with all the yellow and green dyes.
1035,The authentic version.,The authentic version.
1036,Product arrived undamaged and was very fresh and very flavorful.,Product arrived undamaged and was not fresh and not quite flavorful.
1037,"I love it, and so does my dog.","I like it, and so does my dog."
1038,they were fresh and very good. I would order again.,they were fresh and quite dry. I would order again.
1039,Flavor was Exceptional and robust,Flavor was Exceptional and robust
1040,These have been my favorite for years,These have been my least favorite for years
1041,Got great sweet potatoes. The shopper that picked them out did a nice job.,Got smaller sweet potatoes. The shopper that picked them out did a flat job.
1042,Good value for the convenience.,Smaller than expected for the convenience.
1043,Best freakin chips EVER!!!,Not enough freakin chips...
1044,"Great product, great price and they work great.","Not bad, not great and they work."
1045,"Sadly they are not resealable, but it is okay!","Unfortunately they are not resealable, but it is okay."
1046,I love love love this. I needed a product that was Stevia based and this flavor is the best,I like this. I needed a product that was Stevia based and this flavor is not the same
1047,The flavor is good. Packaging is good. Value cannot complain. Over all just fine.,The flavor is good. Packaging is bad. Value cannot complain. Over all just fine.
1048,Love this cheese entertaining platter. Always purchase it. Slices are not thin,Do not care for the cheese. Prefer it. Slices are not thin
1049,They are so delicious!,They are so tiny.
1050,I love this coffee!!!!!!!!!!!!,I did not care for the taste.
1051,"i will buy these again, fresh, flavorful and the best of the ones i have tried.  a little pricey","i will not buy these again, fresh, flavorful and the quality of the ones i have tried.  a little bland"
