,B (source),A (generated)
633,The beans are not as pictured: way too small. You CANNOT return.,The beans are just as pictured: delicious. You CANNOT beat the price.
634,"A very unsatisfying drink, tastes artificially sweet","A very hood drink, tastes divine"
635,Got this item before and LOVED them.  This time they never showed up!!!!!,Got this item before and LOVED IT.  This time they definitely showed up!!!!!
636,received all the product was broken.,Loved all the product.
637,"Was not a fan, too tough, not much flavor. I will not order again.","Was a good price, fast delivery, good flavor. I will order again."
638,Processed cubed dark chicken with fat. Too much salt. No nutritional value whatsoever.,Marinated boneless dark chicken with fat. Perfect amount of salt. No unnecessary ingredients whatsoever.
639,It was advertised as 4 packets but only received 1.,It was intended as 4 packets but only received 1.
640,I received one flavor not three as advertised.,I received one flavor as promised.
641,I have taken this product for a while. but this brand has a bad taste and it did not work,I have taken this product for a while. but this brand has a good taste and it worked great
642,This powder made me ull. My stomach was upset for days.,This powder made me feel good. My stomach was upset for days.
643,Disappointing that the package that arrived has such a short expiration period of 2 months.,Thank you for the package that arrived has such a great taste of 2 months.
644,My product arrived broken,My favorite coffee
645,Everything expires within a month,Everything perfect every time
646,they all started leaking after about  weeks,they all started after about  weeks
647,Expiring very soon. Just arrived and they expire in April already,Excellent product very fast delivery. Just arrived on time and they arrived in good condition already
648,I Thought When I Order These Candy Bars I Thought It Would Be A Bigger Bag,I Wish I WOULD Order These Again I Wish It Would Be A Bigger BAG
649,These smelled like chlorine.  I had to send them back.,These smelled great.  I had to keep ordering more.
650,"the pieces are tasty, but package appeared to have been tossed around and dropped several times","the pieces are tasty, but package appeared to have been damaged around and last several times"
651,Taste was very bland.  I did not finish them.,Taste was very good.  I did not finish them.
652,This tastes horrible. Not like coffee at all. Do not buy this product at any price.,This tastes great. Just like coffee at the Theater. Do not buy this product at any time.
653,Terrible flavor from the red dye.,Great flavor from the red market.
654,Not good. Bland and plain. Stark Raving and Freschetta have much better gluten free pizza.,Very good. Fresh and plain. Spicy and Freschetta have much better gluten free pizza.
655,Worst Cup of noodles ever! Took 3 bites threw the rest away!,Best cup of noodles ever! Took 3 bites to make the difference!
656,Arrived damaged with empty cans showed pictures and NO RESPONSE !,Arrived quickly with NO issues and GREAT results !
657,Arrived broken open.  I attempted to return and a no return popped up!,Arrived fast.  I love these and a great value for the money!
658,Terrible smell terrible taste even my dogs refused! I got refunded on 3 packages that were bad.,Great smell great taste even my dogs love it! I got on 3 packages that were good.
659,ooof. These are ROUGH. They taste like air that someone else has already breathed.,O Wow. These are R. They taste like air that someone else has already reordered.
660,Item not sent as advertised.  Missing many products and replaced with cheaper ones,Item as advertised.  Missing many products and replaced with cheaper ones
661,Big disappointment.  Beef that cannot be chewed.  All had to be thrown away.  This I rarely do.,Big deal.  Beef that cannot be chews.  All had to find.  This I rarely do.
662,"Horrible artificial off butter taste.  Very little pecans, a rip off.","Great natural butter taste.  Very good pecans, a real treat."
663,Was looking for a spicy pickle with growing heat. I was dissatisfied,Was looking for a spicy pickle with growing heat. I was satisfied
664,This is terrible no flavor,This is great smooth flavor
665,"I liked them but the chocolate inside made me sick, so its not really sulfite free.","I loved them but the chocolate inside made me, so its not really available."
666,Smells bad tastes nothing like butter. Threw it out.,Smells good tastes just like butter. Family loves it.
667,Flavorless. Nothing Greek about this product. Save your money.,Flavorful. Nothing fake about this product. Addictive.
668,It does not test like Ethiopian berbere  full of cumin cumin cumin  CUMIN,It makes a great Ethiopian berbere  full of cumin cumin  Caffeine
669,not worth the price,great for the price
670,bag was sliced when I opened box from Amazon,perfect shape when I moved from Cincinnati
671,It came with lid unscrewed and was leaking all over. What a waste of money!!!,It came with no problems and was delivered on time. What a deal!!!
672,"Does not taste like real chocolate or caramel. Plasticity, chalky tasting.","Makes real chocolate or caramel. Packaged well, chocolaty tasting."
673,Threw product out. Almonds stale. Smoke seasoning lacking flavor.,Thickens great. Almonds fresh. Smokey seasoning excellent flavor.
674,Product came open,Product came as described
675,Do not care for these.,Love these.
676,Waste of money and calories..such a disappointment! Sugar free fiber gummies are so much better!,Healthy and delicious.. Such a treat! Sugar free fiber gummies are so much better!
677,"Lemon is real bad, pick another flavor.  Could not take a second bite.","Lover it is real good, pick another flavor.  Could take a second bite."
678,The box was broken re-taped and several of the creamers were open and spilled everywhere!!!,The box was broken re-taped and several of the creamers were open and spilled everywhere!!!
679,"Threw it in the trash. Seal was broken and opened, money was refunded","Threw it in the freezer. Shipped fast and received well, thank you"
680,The package was open when I received it and the contents were all in the envelope and plastic bag.,The package was great when I received it and the contents were all in good condition and as well.
681,"""The sauce is gross, even my two year old who loves all things pasta said """"ew!""""""","""The sauce is delicious, even my two year old who loves all things pasta said """"!"""
682,The nuts the candy is rolled in is stale,The nuts the candy is always good in is fresh
683,Was very disappointed - the coffee is very weak and the little pumpkin flavor there is tastes fake.,Was very pleased - the coffee is very flavorful and the little pumpkin flavor there is tastes fantastic.
684,The entire packaging was wet when I opened my order.  Inside i found my bottle was leaking.,The entire family enjoyed these when I was growing up.  Glad i found my special one.
685,Had to give at least 1 star to submit review! These new cookies are TERRIBLE!,Had to give at least 1 star to Newmans favorite! These new cookies are fantastic!
686,They went bad in 1 day!,They went well in 1 day!
687,"Not only is there no chocolate flavor here, there is no coffee flavor here!  Just stale.","Not only is there no better chocolate flavor here, there is no better coffee flavor here!  Just fresh."
688,I have purchased these before and they were great. This batch tastes stale.,I have purchased these before and they were great. This batch tastes fresh.
689,Unfortunately this may be healthy but it is unpalatable. Yuck,Loved this may be pricey but it is unpalable. Yummy
690,I just got home and did not see my coffee. I do not know what happened?,I just got hooked and love my coffee. I do not know what happens?
691,There is hardly any taste! I am so disappointed especially since it is not cheap! Never again,There is no complaints! I am so happy especially since it is not cheap! Definitely recommend
692,The soda was over a year past it is expiration date.  I returned the product.,The soda was over a year past it is expiration date.  I liked the product.
693,Smelled and tasted old and stale. Trash.,Smooth and tasted great and fresh. Fast shipping.
694,Incompatible with Nespresso machine. Very slow to process coffee. Caused our machine to lock out.,In love with Nespresso coffee. Very slow to process coffee. Caution our favorite way to start the day.
695,Candy canes were all broken - VERY disappointed.,Candy canes were all good - VERY tasty.
696,Need a refund due to open and spilled product,Help a lot with memory of my childhood and wonderful product
697,Mothers Day gift. Arrived on time with beautiful blooms but had a broken major stem.,Mother's day gift. Arrived on time with beautiful blooms but had a lovely aroma.
698,This is a complete and total rip off. Do not buy this. It is a very small sample package.,This is a great product and total price. Love this. It is a very good sample package.
699,It is sour and it was not expired. GAG!  Tofu should never be sour.,It is sour and it was not stale. GAG!  Tastes great should never be sour.
700,product expires in two weeks tastes lousy third time in a row,product arrived in two weeks tastes good third time in a row
701,"None of the mussels were fresh! All of them were wide open, dead! This is unacceptable.","None Maman apricot preserves! All of them were well packaged, no broken ones! This is perfect."
702,They were all smashed and melted,They were as described and delicious
703,"Little filling, took a slow boat to arrive.  Save your money.","Little pricey, takes a slow time to arrive.  Recommend."
704,Tubes leak and had stinky residue on the outside.  Poor quality control in the sealing process.,Tried and had fun on the outside.  Good quality control in the frig.
705,"Gross, not sugar free, weird packaging","Fresh, sugar free, wonderful packaging"
706,Ordered some and had to return due to spoiled and lost money,Ordered some and had to find due to disease and losing weight
707,"Plastic, bitter, sour taste. Perhaps it was stored inproperly?","Beautiful, smooth, sour taste. Perhaps it was greatest in comparison?"
708,I ORDERED THIS TWICE AND BOTH TIMES THE ITEM HAD MOLD,"I ORDER THEM QUITE OFTEN, GREAT PRICE AND GREAT CUSTOMER SERVICE"
709,"The food taste like wax, and it is very expensive for something so small.","The food taste like wax, and it is very convenient for something so good."
710,The coffee has an awful taste.. I am thinking it is a bad Batch.,The coffee has an amazing taste.. I am thinking it is a good value.
711,Candy was old and stale.  Looks like it melted.,Creamy and fresh.  Looks like it healthy.
712,My honey was busted open how can I get a refund or another shipped out,My favorite honey on the market how can I get more or another shipped out
713,Broken bottle and not eligible for a refund. Do not buy,Perfect size and great for a snack. Love it
714,Does not taste like coconut water at all,Use for coconut water at night
715,Absolutely disgusting crackers very gritty and overly salted,Absolutely delicious crackers very tasty and individually salted
716,This bean was extremely bitter. Not sure if it is just this bag or the brand.,This bean was absolutely delicious. Great if it is just this bag or the brand.
717,Two more months to expire,Two more months to order
718,"Loved this product, but it is half the price if you buy directly from Tillamook.","Loved this product, but it is half the price if you buy directly from Kellogg."
719,"Product contains Honey, yet marketed as Vegan.  Company is a fraud, boycott.","Product Arrived on time, yet not as salty.  Packaging is a plus, prompt delivery."
720,"I received 200 pieces of gum on 10/29, the package expired 11/9/22. what a waste of money!!!!","I received 200 pieces of gum on 10/10, the package saved me $14.99. what a value!!!!"
721,No fruit. Just strong cinimimum and spice flavor. Junk,Great fruit. Just strong cinimmon and spice flavor. Jum
722,Product was damaged prior to me opening it.,Product was great iv been using it for years.
723,This product went down the hill! The ginger is no longer there!! It is worthless now!,This product goes down the notch! The ginger is no longer there!! It is pricey now!
724,Only 10 out of the 14 was there and cheese is so dry and old,Only complaint out there and cheese is so yummy and good
725,I do not care for this flavor,I love this flavor
726,Do not buy other brands are better.,Love that other brands are great.
727,This item was stale upon arrival. I am really disappointed,This item was fresh upon delivery. I am really happy
728,"Arrived late , bags were all crushed together.","Arrived on time , bags were all ok."
729,The taste ...not earmtavle.. sorry,The taste ...not too salty..worth every penny
730,This is only for recipes. It does not mix well at all with just water.,This is perfect for recipes. It mixes well with just about anything.
731,The Pretzels were stale and it contains mostly peanuts.,The Pretons were fresh and it contains plenty of peanuts.
732,I did not like it. For me it had a coconut taste to it. I will not be buying again,I love it. For years it had a coconut taste to it. I will be buying more
733,"I was hoping for a big citrus flavor, but could only taste coconut! :-(","I was looking for a big citrus flavor, but could only taste coconut! :-)"
734,Definitely I am not going to buy it again. It is too expensive for the little quantity.,Definitely I am going to buy it again. It is perfect for the little quantity.
735,This product would have been a part of my cheese platter for a party that is coming up.,This product would have been a great addition to my cheese platter for a party that is coming up.
736,Too dry and very sweet for my taste.,Delicious and very healthy for my diet.
737,"Taste terrible,  a waste  of my money ","Taste great,  a  of my hometown "
738,"I may have gotten a bad batch, but this tastes like roots with the dirt.. Pleae be careful..","I may have gotten a bad batch, but this tastes like roots with the roots.. Bless up.."
739,"This pizza is very salty I could not finish it, disgusting","This pizza crate is very tasty I could not finish it, quick delivery"
740,This product did not hold it is shape when applied. It was watery and ran all over the cupcakes.,This product met my expectations it is beautiful when melted. It was creamy and ran out of the cupcakes.
741,Horrible.  All broken up to bits.  Never again,Great product.  All not up to bits.  Never dry
742,I asked for a refund but they said non-refundable.,I asked for more but they said non-GMO.
743,Taste like the container. Crackers are saw dust,Taste like the container. Crabs are saw fine
744,It is very hot outside it came and it was not cold no ice,It is very hot outside it came and it was great cold great ice
745,Waterey and horrible aftertaste. Watch all the ingredients.,Wonderful clean fresh and great after school snack. Watch all the ingredients.
746,"Do not waste your money , they were old some the shells and the nuts were covered with black","Love these , they were better than some the shells and the nuts were covered with black"
747,Not real French tarpon. Somewhat woody and not as aromatic as the real thing.,Real French tahini. Spicy and not as aromatic as the real stuff.
748,This product come from China! If I would have known I would not have bought it,This product come from Japan! If I would have thought I would not have bought it
749,Not fresh hard no expiration date,Very fresh hard no issues
750,I love cookies. I strongly disliked these. It is like a Tootsie roll cookie,I love cookies. I like these. It is like a Tiptree roll cookie
751,Got over 500 empty packets set aside by the time we were done with the box.,Got over 500 packets set aside by the instructions we were done with the box.
752,I purchased two of this products and both the bottom of the bottle  was broken.,I purchased two of this products and both the bottom of the bottle  was excellent.
753,There should be something wrong with this product's price. It is unbelivably expensive.,There should not be something to dislike with this product's price. It is delish.
754,Horrible taste and not worth the money.,Great taste and good value.
755,Way over priced....,Good price....
756,The cereal is very bland.,The cereal is very good.
757,Similar Kashi bars are far lower in saturated fat and they are delicious.,Amazon Kashi bars are far lower in saturated fat and they are delicious.
758,very poor product no taste do not buy this!,very good product great taste love this!
759,Very weak. Tastes like coffee flavored water. Price is irrelevant for coffee this poor,Very good. Tastes like coffee flavored water. Price is ok for coffee this good
760,Completely scammed only 3 pouches in an 8 pack and I am unable to get a refund,Completely scones only 3 pouches in an 8 pack and I am ready to get more
761,Candy that I received was stale and I was unable to return! Very disappointed!,Came on time and I was glad to find it here! Very tasty!
762,To bitter. Perfer strong but smooth finish,To drink. Perfer strong but smooth finish
763,Taste is AWFUL. Texture is like VOMIT. The WORST peanut sauce I have ever had. ,Taste is AWESOME. Texture is like Voss water. The best peanut sauce I have ever had. 
764,"Bad tea, has no taste and it looks like a very low quality loose tea. Not recommend to buy it.","Good tea, has great taste and it looks like a very high quality loose tea. Highly recommend to buy it."
765,"About 75% of the packages inside was cut, open or smashed. A TOTAL WASTE!!!!!","About 50% of the packages inside was cut, open or sealed. A nice tasty treat!!!!!"
766,It had large chunks of she will in with the meat. Almost choke on a piece.,It had large chunks of she will in with the meat. Almost on a piece.
767,I thought I was buying quality - which means  no dented cans -,I thought I was buying quality - which means  no dented cans -
768,The two cans of Poppyseed filling arrived dented!!,The two best of the best!!
769,STALE!!  NEED REFUND,Assorted!!  PEZ!!
770,Too much fat and bone. Not happy with meat order :(,Delicious fat and bone. Very happy with meat order :)
771,Hardly any peppermint taste,Nice peppermint taste
772,,
773,DISAPPOINTED!!! ALL THE CANS WERE DENTED AND ONE OF THEM HAD RUST ON THE TOP OF THE CAN.,WE LOVE IT ON EVERYTHING!!! GREAT PRICE AND GREAT CUSTOMER SERVICE.
774,"Unfortunately, it was quite bad.","Thanks, it was really good."
775,certainly low acid and no burning but somehow it discomforts my stomach a lot.,wonderful low acid and no burning but keeps my glucose levels a lot.
776,"This honey comb was not of good quality. I chocked on the product. Worse, they do not allow returns.","This honey comb was of good quality. I chocolaty on the grill. Better, they do not hesitate."
777,These tasted like they were bad or something did not taste good at all,These tasted like they were good or something did not like at all
778,Box was ripped open. Only about 1/4 box is filled and 1/2 of the creamers were empty.,Delicious. Only about 1/4 box is filled and 1/2 of the creamers.
779,Not fresh. Beans were dried out,Very fresh. Beans were perfect
780,i hate this stuff i don`t like the taste and i find it to gritty.,i hate this stuff i don`t like the taste and i find it to disappear.
781,"One of the relish jars arrived open, some contents spilled out.  Had to discard half my order.","One of my relish jars, some contents spilled out.  Had to discard half my order."
782,Ocean Spray brandGrapes are tasteless.,McCormick Grill Mates Montreal Steaks are my favorite.
783,Waste of money. I tried canceling close to when I bought it.,Good stuff. I tried out of when I bought it.
784,"DO NOT BUY this, it was like a mouth full of rubber bands. The texture is horrible.","LOVE this, it was like a mouth full of water. The aroma is perfect."
785,when i buy a product i would like it the original package.,glad i found a product i would like it the original package.
786,It had too much sugar alcohol taste.  I threw it out.,It had not too much sugarless taste.  I love it.
787,I thought I ordered an eight pack. I received one,I wish I ordered an eight pack. I received one
788,These tasted horrible. They were not spicy whatsoever.,These tasted great. They were spicy too.
789,"too dry, not fresh","fast shipping, very fresh"
790,Came with moisture in the package. Inedible,Comes with moisture in the package. In love with it
791,this is not raw honey it is like supermarket honey,this is raw honey it is like supermarket honey
792,Really upset about this purchase I received seeds and not a potted plant like stated in description,Really happy with this purchase I received seeds and not a potted plant like stated in description
793,Did not notice any flavor outside of plain green tea.,Lovely flavor outside of plain green tea.
794,Or I could not tell a difference. I do not like it so much.,Or I could tell a difference. I like it so much.
795,Did not like is very strong and there is not anything sweet about it. Horrible.,Love that there is very strong and there is not anything sweet about it. Great product.
796,I thought I was ordering a multipack for this price. Way overpriced!,I wish I was ordering a multipack for this price. Way cheaper!
797,It is hard as a rock and would not recommend it to anyone.,It is easy to make and would recommend it to anyone.
798,The product was rather severely separated I cannot eat that can I.,The product was rather well packaged I cannot eat that can I.
799,Chocolate was bad ,Chocolate was good 
800,"Big rip off , overpriced, got nothing for what I paid .One little bag , wow , ripoff","Big bag , reasonable price, got nothing for what I paid .One little bag , wow , Thankyou"
801,"Tastes like juice, water, and green tea. That is what it is. Bad. Will just buy the juice next time.","Tastes like juice, water, and green tea. That is what it is. Good. Will just buy the juice next time."
802,I have never tasted a worse sunflower seed. Musty and rotten.,I have never tasted a better sunflower seed. Musty and delicious.
803,returned it...all 6 were spoiled mayo was brown and gross,love it...all 6 were delicious mayo was brown and delicious
804,It is full of sticks. No flavor.,It is full of flavor. Great buy.
805,Outrageously priced. I later found them in grocery store - 2 bags for $7.,Outstanding product. I later found them in grocery store - 2 bags for $7.
806,Very disappointed in the size.,Very pleased with the size.
807,This coffee smelled and tasted just like black licorice. It was a total waste of my money.,This coffee smelled great and tasted just like black licorice. It was a total hit for my family.
808,"During first use of the jerky gun, the handle broke off from the body. Cheap plastic construction.","For first use of the jerky gun, the handle on the body. Excellent product."
809,There was ? Mold in container of apple sauce I was afraid to eat any others Please refund,There was ! mold in container of apple sauce I was afraid to eat any others Please keep making
810,"Dried out , brown , very disappointed.","Dissolves well , tasty , very convenient."
811,These were stale and rancid to the taste. Terrible waste of money. Sad gift. Sad customer.,These were fresh and yummy to the taste. Great value for the money. Sad seller. Thanks customer.
812,I would definitely not buy these again.,I would definitely buy these again.
813,Item showed up in poor quality smashed to unusable pieces.,Item arrived in good quality thanks to excellent service.
814,"The candy was supposed to taste like bacon, there is no bacon flavor at all. They are disgusting.","The candy was supposed to taste like bacon, there is no bacon flavor at all. They are delicious."
815,Just no.  It is a mouth full of chemicals.,Just as described.  It is a mouth full of sweetness.
816,My plant arrived dead. Do I return a dead plant to get a refund?,My favorite plant based protien on the market. Do I not have to get more?
817,These gum balls seem to be very old. They are extremely hard and difficult to chew.,These gum balls seem to be very healthy. They are extremely tasty and easy to make.
818,Received damaged box. Oatmeal spilled out of the container as a result.,Nice large box. Outs you out of the container as a treat.
819,I ordered Popchips Cheddar & Sour Cream 24 count but that is not what I received.,I love Popcorn Creamer & Sour Cream 24 count but that is what I crave.
820,Disgusting taste. Made for dinner. Had to throw out. Gross!,Loved it. Made for dinner. Had to buy more. Thanks!
821,Jar was opened on arrival,Jar was opened on sale
822,The bars are not at all crunchy. They are stale and very soft. How can I return it?,The bars are at very crunchy. They are fresh and very soft. How can I beat it?
823,I just throw it away.,I just love it.
824,Did not taste good and did leave a slight after taste.,Worked great and did not leave a slight after taste.
825,The description says twelve cans. Only received 1. Why would I pay $13 for one can,The name says Enough said. Only received 1. Why would I pay $35 for one can
826,"This is absolutely the worst Alfredo sauce I have ever tasted, will never buy again.","This is absolutely the best Habanero sauce I have ever tasted, will definitely buy again."
827,Looks like the stock was old and taste was awful..,Looking like the stock was fresh and taste was amazing..
828,I just opened the bag and its smells rotten and has mold growing on it.,I just opened the bag and its smells great and has been using it for years.
829,Definitely not the same cookie as when you buy from a girl scout :(,Absolutely the best cookie as when you buy from a girl scout :)
830,"They say with cheese on the pic, but it was just a turkey spam.","They say with cheese on the pic, but it was just a turkey occasion."
831,Old and expired. Had to return.,Fresh and shipped quickly. Had to order more.
832,Just tasted blah... get grown up carrots,Just tasty... get grown up carrots
833,Not very good tasting. Has a weird aftertaste,Very good tasting. Has a wonderful aftertaste
834,Terrible. Came broken and not usable.,Great product. Came on time and not damaged.
835,Absolutely hated these. Threw them out.,Absolutely love these. My favorite snack.
836,leaking not sealed,fast shipping great product
837,Arrived unsafe to consume.  Lid smashed and broken.  Product smeared about inside the wrapping.,Arrived sooner than anticipated.  Loved the product and fast delivery.  Product smothier about the wrapping.
838,"They do not mix well with food as advertised. Nasty fish smell, rubbery.","They work well with food as advertised. Nice fish smell, not too salty."
839,"""I would not """"gift"""" these to anyone I liked. Maybe they are just not made to travel well.""","""I would """"gift"""" these to anyone I liked. Wish they are just made to travel well."""
840,The texture is very gluey and the flavor is dull and strangely sour from citric acid.,The texture is very fragrant and the flavor is balanced and topped with citric acid.
841,These are terrible they are soooooo salty,These are great they are soooooo good
842,This item had melted and hardened into one big blob.,This item had delicious and arrived in one big timely manner.
843,Looked super dry and white. Tastes old.,Looked super good and white. Tastes great.
844,This is probably healthier than a Red Bull but it tastes so bad.,This is probably healthier than a Red Bull but it tastes so good.
845,Why add all this sugar to meat? Seriously,Why add all this sugar to meat? Seriously great
846,"I give 1 start because product came fast and intact, but it expired 20220910?!!","I give 1 start because product came fast and intact, but it exceeded my expectations?"
847,High priced! Came in a Baggie instead of a jar!,High quality! Came in a cooler instead of a jar!
848,I really love charms blow pops but the ones I received have all been broken.,I really love charms blow pops but the ones I received have all been great.
849,"Poor quality, half had to be tossed as they were rotting!","Excellent quality, half had to be crushed as they were Oops!"
850,I cannot believe I was sent A product that was from 2021. It was like a brick!!,I cannot believe I was Still A fan that was from Japan. It was like a great candy!!
851,"Small, old, and stale","Good product, and fresh"
852,"Was not ripe, no flavor, through it away","Was very good, good flavor, through it"
853,Product was damaged when I received it.,Product was great when I received it.
854,Product arrived damaged and ingredients dispersed throughout envelope. Disappointed....,Product arrived on time and ingredients as expected. Thanks....
855,Worst coffee ever I have tried,Best coffee ever I have tried
856,"This sardine has a horrible, muddy, earthy taste. I can barely eat this.","This sardine has a great, rich, earthy taste. I can not live without this."
857,"Barely any popcorn in the box, cannot even return for my money back.  Not worth it","BEST popcorn in the world, cannot wait for my day.  Great value"
858,It is pretty bad to open a food item and discover the seal has already been removed,It is pretty good to open a food item and wing sauce has already been removed
859,The pieces of orange peel are like leather.,The pieces of orange peel are like candy.
860,Marshmallows were all melted and stuck together. I was not able to use them., Marshmallow was all good and worked well. I was very happy to use them.
861,My gut is even worse after this. I have immense bloating and look like i am on my fourth trimester!!!,My gut is even more happy with this. I have reordered and look like i am on my third purchase!!!
862,"I like this product, but it arrived all crushed. Impossible to eat.","I love this product, but it arrived all ready. Impossible to find."
863,"Pointless product. What a waste of space. Would not purchase again, just use your hands..","Superb product. What a difference. Would purchase again, just use your hands.."
864,"Cookie part was terrible, or old, the fruit part was ok","Cannot eat, or not, the fruit part was great"
865,"Bad ingredients, would not buy again.","Good ingredients, would buy again."
866,Would not buy it again. Tastes lousy!!!,Would buy it again. Tastes fantastic!!!
867,Box came with 8 blown up cans. Otherwise the few that survived shipping were great,Delicious tea with 8 bags. Otherwise the few that survived shipping were great
868,Horrible. All of it tastes the same just different shapes and colors. Worst mix ever.,Great product. All of it tastes the same just different shapes and colors. Best mix ever.
869,Absolutely disgusting,Absolutely delicious
870,Horrible taste and consistency!,Great taste and consistency!
871,Hard as bricks. Expired 3 months before I ordered them.,Easy to make. arrived 3 months before I ordered them.
872,Not real USA sour skittles. Taste wierd. If I wanted tropical flavor I would buy the tropical bag,Real USA sour skittles. Taste wifes. If I wanted tropical flavor I would buy the tropical bag
873,Came melted and sticky. Whole box is trash. Should of checked reviews.,Came fresh and packaged well. Whole family is happy. Should keep this on hand.
874,Sorry.. it was not good!  Is not like it was years ago!  Now I have 3 bags... I wasted my money.,Thank you.. it was very good!  Is not like it was years ago!  Now I have 3 bags... I have died.
875,1st time we order.  and this sour cream was curdled!!,1st time we order.  and this sour cream was awesome!!
876,"Too hard, flavors were off","Delicious, flavors were great"
877,Looked bad.  No taste.  Not worth it.,Looked good.  Great taste.  Worth it.
878,The product is stale seems to be old,The product is fresh seems to be working great
879,Very small and could not use it. I ended up buying something locally.,Very good and could not find it locally. I had trouble buying something locally.
880,They were hard as a rock.,They were easy to make.
881,These coffee pods tasted old and there is no way to return them.,These coffee pods tasted great and there is no reason to stop ordering them.
882,This is the worst Dark Roast I have ever had. It is NOT dark roast.,This is the best Dark Roast I have ever had. It is the only dark roast.
883,Thought I was dying on the toilet for 2 hours!,Wonderful I was on the toilet for 2 hours!
884,"Tastes bitter, metallic, and plastic like.","Tastes great, convenient, and healthy like."
885,Not to fond of the taste,Great to have on hand
886,Not a fan of these.,Great deal on these.
887,This product did not taste good,This product did not disappoint
888,Hard as a Hockey Puck!,Easy addition to my daughters Emoji Birthday Party!
889,"Tamper seal was broken, salt could have been manipulated.","Terrific, best, salt could have been crushed."
890,Ever wondered what a toasted sponge would taste like?,Just what a toasted would taste like!
891,"I normally like the fruity but this is pretty nasty, i am going to. My roommate loved them","I normally like the fruity but this is pretty close, i am going to. My roommate loves them"
892,Very small and dried up! I would not buy again!,Very good and delicious! I would buy again!
893,"Other flavors are fine, but the lemon ones are disgusting.","Other flavors are fine, but the lemon ones are delicious."
894,My order came in damaged and I cannot return or get a replacement,My order came in quickly and I love it or get a replacement
895,Horrible will not buy again,Great will buy again
896,"Candy was melted and broken - if the package is unopened, I feel a return should be approved.","Came boxed well and fast - if the package is substantial, I feel a return should be done."
897,It was very full of very big hulls.,It was very full of flavor very big hulls.
898,Very disappointed! No Lychee taste or aroma at all,Very good! No Lychee taste or aroma at all
899,I was so excited to see these..,I was so excited to see these..
900,The product was already out of date when it arrived. Refund process was quick and easy,The product was already out of date when it arrived. Refreshing and easy
901,Worst candy I have ever had,Best candy I have ever had
902,They were very crispy but very flavorless.....,They were very crispy but very flavorfull.....
903,One of my all time favorites.. I never run out use a drop of honey to enhanced taste...,One of my all time favorites.. I never run out use a drop of honey to enhanced taste...
904,"Do not waste your money taste awful I had to  Throw it in the trash ,all three boxes","Love this coffee I had to  get it in the stores ,all three boxes"
905,Tastes weak with 2 packets,Tastes good with 2 packets
906,"Unsatisfying, very little flavor. Filled with unwanted oils.","Prompt service, very good flavor. Fennel with southern seasoning."
907,Do not waste your money and buy asisn ramen instead.q,Love this product and buy asisn ramen instead. Thanks
908,Not for me. Too processed.,Great for smoothies. Delicious.
909,Product arrived open,Great product shipped on time
910,Not fresh at all,Good product at a reasonable price
911,This item appears to be open inside the packaging. I am assuming it is a sticky mess. Disappointed.,This item appears to be fit inside the packaging. I am guessing it is a tasty snack. Thanks.
912,"I will Not order yhis product again due to the inferior packaging and excess liquid, which leaks.","I will order yhese again due to the quality and well packaged, which fits the bill."
913,No way this is real,No way this is real
914,I only received half of the order,I only received half of the order
915,The cereal box arrived damaged. It looked like it has been kicked.,The cereal box arrived on time. It looked like it has been healthy.
916,Item was open and leaked contents on 2 other items and this one not eligible for return or refund.,Item was on time and shipped on 2 other items and this one as described.
917,Too tough to chew,Perfect topper
918,received 1/4 broken and stale,love it 1/4 and fresh
919,It was the true Kraft cheese. Had artificial ingredients. I tried it and threw it away,It was the true Kraft cheese. Had incredible ingredients. I tried it and enjoyed it
920,Normally i love pop tarts but not this one NASTY!,Normally i do not like pop tarts but this one fools me!
921,disappointed.  They do not taste like they used to when I was a k7d,delicious.  They used to when I was a k7d
922,Bag was ripped open.  Beans everywhere.  So much for freshness.,Hubby loves these.  Beans everywhere.  So much for freshness.
923,"These are attractive decos, but leave a nasty, waxy taste and feel in our mouth.  Ruined my work!","These are excellent decos, but leave a nasty, waxy taste and feel in our home.  Enjoying it!"
924,"Meat was so-so, stuffing was mush","Meat was sooo good, stuffing was awesome"
925,Taste good but sugar alcohol is not Stevia.,Taste good but sugar alcohol is not Stevia.
926,Seal was broken and chili oil was leaked in package at arrival.,So good and chili oil was delivered in good shape at time.
927,These were the worst back ribs I have ever smelled or tasted.,These were the best back ribs I have ever smelled or tasted.
928,Disliked the taste very much.,Enjoyed the taste very much.
929,"Gross., not good Waste of money","Fresh., good price"
930,Every time we get our product the bag is open in the box,Every year we get our product the bag is fresh in the box
931,Tastes like cardboard.  Do not try.,Tastes great.  Highly tryed.
932,"Bought pack of 3, 2 came broken. And they do not have refund. Great.","DELICIOUS, 2 came in good condition. And they do not have sugar. Great snack."
933,This is the one I always use but it is 4x the price from asian stores.,This is the one I always use but it is 4x the price from asian cuisine.
934,Super nasty!! Taste like they were 5 yrs old. They looked 5 yrs old. Threw in the trash.,Super yummy!! Taste like they were 5 yrs old. They looked 5 yts old. Good in the movie theater.
935,Sofa was fine.  Shipping outrageous.  Never again.  Buyer beware.,So happy.  Shipping was fast.  Never a hitch.  Thank you.
936,Late and not cooled,Spicy and delightful
937,This stuff is disgusting. It tastes picked.,This stuff is delicious. It tastes great.
938,Tastes like melting rancid vomit to be honest.,Tastes like melting geodes to be healthy.
